Exported data,,,,,,,,,,,,,,,,,,,,,,,
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²)
Peaks,,0,0.113665141,0.008826875,-2.630528831,0.365119167,12.87716607,0,0,0,24.48045178,-0.039296914,24.09513984,24.4410157,-0.000960456,-0.033873757,0,0,0,0,0.000195538,0,0
peak HRR (kW/m²),241.5937098,1,0.30534933,0,0,-0.0787615,-2.777791493,0,0,0.000209507,24.43248941,-0.077441113,24.04308991,24.38399909,-0.001888324,-0.066598153,0,0,0,0,0.000525303,0.000360421,0.209507236
peak EHC (MJ/kg),79.47715673,2,0.358550272,0,0,-0.000654167,-0.023071407,0,0,0.000541457,24.3718652,-0.065984081,23.97818744,24.31562847,-0.001604444,-0.056586174,0,0,0,0,0.000616831,0.000931488,0.270728519
peak MLR (g/s),0.55839825,3,0.406576585,0.252689466,-44.14734262,0.0456215,1.608996967,0,0,0.00092402,24.43856696,-0.082638116,24.03876052,24.37214302,-0.002014068,-0.07103294,0,0,0,0,0.000699457,0.001589632,0.308006822
peak SEA (m²/kg),389.017651,4,0.560201424,0,0,-0.049944083,-1.761447532,0,0,0.001407409,24.51154628,-0.046358549,24.10381395,24.43826141,-0.001132922,-0.03995635,0,0,0,0,0.000963764,0.002421242,0.351852368
peak COY (kg/kg),,5,0.59130992,1.440326575,-258.5208615,0.011640417,0.410538783,0,0,0.001983165,24.45161267,-0.123464507,24.04460036,24.37372997,-0.003009291,-0.10613284,0,0,0,0,0.001017287,0.003411767,0.396633028
peak CO2Y (kg/kg),,6,0.498503777,1.756611705,-146.9203577,0.0080465,0.28378712,0,0,0.002528072,24.51712407,-0.048381876,24.10582807,24.4346594,-0.001182195,-0.041694105,0,0,0,0,0.000857614,0.004349218,0.421345332
,,7,0.665483411,0,0,-0.0382945,-1.350585455,0,0,0.003110066,24.51383261,-0.034491435,24.10168952,24.42707569,-0.000842525,-0.029714499,0,0,0,0,0.001144904,0.005350477,0.444295083
Time To Peaks,,8,0.752450885,0,0,-0.02523825,-0.890112506,0,0,0.003819033,24.39597853,-0.116856531,23.98284668,24.30383644,-0.002840062,-0.100164422,0,0,0,0,0.001294538,0.006570198,0.477379092
t peak HRR (s),55,9,0.764949323,0.123053815,-3.801468806,0.17625925,6.216380405,0,0,0.004577733,24.45023504,-0.027511973,24.03445368,24.3546343,-0.000670044,-0.023631376,0,0,0,0,0.001316043,0.007875489,0.508636982
t peak EHC (s),388,10,0.90652783,0.414827666,-32.43840688,0.061962333,2.18531189,0,0,0.005413471,24.39891188,-0.082724059,23.98006554,24.29715618,-0.002009959,-0.070888036,0,0,0,0,0.001559646,0.009313333,0.541347141
t peak MLR (s),104,11,0.798335224,0,0,-0.034934917,-1.232098352,0,0,0.006265903,24.49384311,-0.040013937,24.06872057,24.39092863,-0.000975977,-0.034421142,0,0,0,0,0.001373486,0.010779899,0.56962754
t peak SEA (s),489,12,0.995578087,0.368066981,3.016029552,0.07669425,2.704882909,0,0,0.00716286,24.33571629,0.009534958,23.93428506,24.25937411,0.000231312,0.008158007,0.000115656,0.004079003,0,0,0.001712872,0.012323078,0.596904966
t peak COY (s),,13,0.996985414,0,0,-0.036097167,-1.273089041,0,0,0.008159141,24.19928227,-0.111150997,23.82613832,24.15331032,-0.002684665,-0.094683802,0.000231312,0.008158007,0,0,0.001715295,0.014037162,0.627626257
