General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.99920839,105.344315,-1.078E-05,0.04832581,1.002848,1.005844,116.974921,-0.0363,0,0,-65.652,327.694,330.074,1013.636,-7.35,0
Standard used,ISO 5660-1,1,21.00001248,104.904047,-1.078E-05,0.04832581,1.002194,1.00363,116.974921,-0.0363,0,0,56.376,327.647,330.016,1013.657,124.821,0
Date of test,15/09/2009,2,21.00081657,104.463778,-1.078E-05,0.04832581,1.00154,1.001416,116.974921,-0.0363,0,0,178.404,327.6,329.958,1013.678,256.992,0
Time of test,13:12,3,21.0009798,104.903835,-1.502E-05,0.04832581,1.001052,0.991389,116.974921,-0.0362,0,0,263.734,327.571,329.927,1013.684,359.217,0
Heat flux (kW/m²),50,4,21.00076618,104.543586,-1.186E-05,0.04832581,1.001246,0.994241,116.974921,-0.0362,0,0,383.998,327.53,329.868,1013.695,281.018,0
Nominal duct flow rate (l/s),24,5,21.00049815,104.677736,-1.078E-05,0.04832581,1.001176,1.003908,116.974921,-0.0363,0,0,-7.89029932022095E+37,327.534,329.881,1013.679,264.707,0
Sampling interval (s),1,6,21.0000165,105.904862,-6.54E-06,0.04828633,1.000761,1.004263,116.974921,-0.0361,0,0,-2.00970067977905E+37,327.55,329.932,1013.674,350.614,0
Separation (mm),25,7,21.00054854,105.601744,-9.7E-06,0.04831575,1.001849,1.002301,116.974921,-0.0362,0,0,306.955,327.561,329.903,1013.676,396.052,0
Orientation,Horizontal,8,21.00092539,106.583297,-6.54E-06,0.04828633,1.002766,1.013764,116.974921,-0.0363,0,0,-7.89029932022095E+37,327.538,329.895,1013.664,191.269,0
Edge frame?,No,9,21.00119005,106.733597,-1.798E-05,0.04835399,1.001967,1.011075,116.974921,-0.0362,0,0,-2.13395760983505E+37,327.503,329.828,1013.61,413.386,0
Grid?,No,10,21.00103509,105.678647,-2.142E-05,0.05085208,1.001587,0.997707,116.974921,-0.0363,0,0,398.564,327.459,329.74,1013.575,355.702,0
Non-scrubbed?,Yes,11,21.00033894,105.325066,-1.294E-05,0.05145636,1.002527,0.99943,116.974921,-0.0363,0,0,-7.89029932022095E+37,327.45,329.777,1013.528,199.791,0
Substrate used? {Y/N},No,12,21.00038933,105.201386,-1.502E-05,0.0514463,1.001922,1.001658,116.974921,-0.0362,0,0,-2.00970067977905E+37,327.483,329.782,1013.464,418.151,0
Substrate,none,13,21.00065399,105.159457,-1.61E-05,0.05152402,1.002194,0.99472,116.974921,-0.0363,0,0,381.706,327.527,329.811,1013.408,345.383,0
Additional specimen preparation details,,14,21.0009245,104.97515,-1.61E-05,0.05146674,1.001998,0.999019,116.974921,-0.0361,0,0,-7.85762119308634E+37,327.531,329.861,1013.386,159.7,0
,,15,21.0009798,105.0531,-1.61E-05,0.0514463,1.002472,1.006109,116.974921,-0.0361,0,0,-2.13395760983505E+37,327.533,329.91,1013.363,392.759,0
Specimen,,16,21.0009798,105.127738,-1.61E-05,0.05140761,1.001999,1.010079,116.974921,-0.0362,0,0,424.819,327.569,329.934,1013.343,302.931,0
Sample description,Fisu 5,17,21.00012886,106.296125,-1.188E-05,0.05143608,1.00246,1.006504,116.974921,-0.0362,0,0,265.235,327.579,329.917,1013.337,257.576,0
Material name/ID,Koivu 2,18,21.0001213,106.906226,-1.078E-05,0.0514463,1.002341,1.009176,116.974921,-0.0359,0,0,277.049,327.56,329.949,1013.319,370.725,0
Specimen number,,19,21.00060295,106.129744,-6.54E-06,0.05140682,1.002743,1.008879,116.974921,-0.0362,0,0,479.4,327.587,329.945,1013.288,297.21,0
E (MJ/kg),13.1,20,21.00092539,105.982286,-1.394E-05,0.05147573,1.002129,1.000491,116.974921,-0.0361,0,0,419.327,327.605,329.962,1013.281,204.408,0
Initial mass (g),119.46,21,21.00119005,106.188106,-1.61E-05,0.05149584,1.001919,1.000917,116.974921,-0.0361,0,0,265.715,327.628,329.994,1013.234,250.241,0
Thickness (mm),20,22,21.00060962,105.301849,-2.032E-05,0.05153516,1.002761,1.001097,116.974921,-0.0362,0,0,517.517,327.645,330.022,1013.223,375.822,0
Surface area (cm²),100,23,21.00044374,104.488125,-1.294E-05,0.05142693,1.002437,0.992902,116.974921,-0.036,0,0,417.381,327.658,330.053,1013.19,282.255,0
Sponsor,,24,20.99897195,105.075935,-6.61E-06,0.05388384,1.001856,0.998537,116.974921,-0.0362,0,0,277.87,327.63,330.02,1013.161,390.604,0
Manufacturer,,25,20.99856753,105.718766,-1.377E-05,0.05452856,1.002454,1.010284,116.974921,-0.0359,0,0,496.605,327.613,330.019,1013.153,532.632,0
Test start time (s),76,26,20.99877686,106.452198,-1.195E-05,0.05459509,1.002052,1.015456,116.974921,-0.0362,0,0,355.765,327.592,329.965,1013.138,-7.73189899921417E+37,0
Time to ignition (s),20,27,20.99883556,106.675807,-1.5E-05,0.05461679,1.002331,1.007864,116.974921,-0.0363,0,0,266.589,327.654,330.067,1013.163,-2.04237880691365E+37,0
Time to flameout (s),750,28,20.9986253,107.198087,-1.61E-05,0.05457792,1.001841,1.005711,116.974921,-0.0362,0,0,399.855,327.63,330.059,1013.162,264.439,0
End of test criterion,ISO 5660-1:2002,29,20.99814887,107.371819,-7.79E-06,0.05460594,1.002069,1.004476,116.974921,-0.0362,0,0,363.774,327.649,330.018,1013.137,230.499,0
User EOT time (s),,30,20.99845013,107.752786,-1.792E-05,0.0545781,1.001971,0.995483,116.974921,-0.0363,0,0,326.176,327.629,330.023,1013.107,156.28,0
MLR EOT mass (g/m²),150,31,20.99856753,105.43272,-1.298E-05,0.05456725,1.002125,0.993059,116.974921,-0.0363,0,0,246.908,327.63,330.082,1013.1,327.465,0
MLR EOT time period (s),60,32,20.99898804,104.372418,-6.61E-06,0.05452839,1.002716,1.002984,116.974921,-0.0362,0,0,456.719,327.681,330.11,1013.133,421.684,0
Truncate graphs at EOT?,No,33,20.99910359,104.170436,-9.62E-06,0.05451771,1.002631,1.006452,116.974921,-0.0362,0,0,310.824,327.683,330.091,1013.138,157.391,0
Smooth data?,No,34,20.99868493,107.030322,-1.078E-05,0.05459509,1.002288,1.005919,116.974921,-0.0361,0,0,341.082,327.727,330.151,1013.131,302.627,0
Correct O2 for pressure?,No,35,20.99814206,106.158645,-1.5E-05,0.05461679,1.002611,1.012489,116.974921,-0.0363,0,0,499.421,327.735,330.215,1013.135,507.566,0
,,36,20.99824172,104.697642,-1.193E-05,0.05457792,1.002295,1.011026,116.974921,-0.0362,0,0,218.824,327.753,330.213,1013.116,198.469,0
Specifications: apparatus,,37,20.99850883,105.181946,-1.078E-05,0.05452856,1.002157,0.999023,116.974921,-0.0361,0,0,191.044,327.772,330.228,1013.162,232.381,0
C-factor (SI units),0.04518,38,20.99919552,104.972073,-1.493E-05,0.05459509,1.002197,0.995905,116.974921,-0.0361,0,0,337.603,327.738,330.247,1013.264,291.598,0
OD correction factor,1,39,20.99894615,104.992173,-1.188E-05,0.05453815,1.002021,1.001931,116.974921,-0.0363,0,0,372.357,327.741,330.211,1013.264,335.226,0
Duct diameter (m),0.114,40,20.99841505,107.923102,-1.495E-05,0.05459543,1.001319,0.997045,116.974921,-0.0362,0,0,280.355,327.693,330.125,1013.237,251.292,0
O2 delay time (s),15,41,20.9982995,109.395871,-1.61E-05,0.05461679,1.00147,0.997783,116.974921,-0.0363,0,0,254.168,327.66,330.095,1013.321,267.218,0
CO2 delay time (s),16,42,20.99808924,107.111426,-1.61E-05,0.05453906,1.002185,1.005632,116.974921,-0.036,0,0,472.378,327.661,330.085,1013.329,354.315,0
CO delay time (s),21,43,20.99866967,105.996635,-1.188E-05,0.05455703,1.0025,1.005851,116.974921,-0.0362,0,0,235.798,327.657,330.074,1013.123,235.114,0
,,44,20.99904581,105.960334,-1.495E-05,0.05452839,1.001814,1.006387,116.974921,-0.0363,0,0,307.94,327.657,330.092,1013.217,352.653,0
Laboratory,,45,20.99889426,105.000268,-1.61E-05,0.0545564,1.001685,1.012589,116.974921,-0.0362,0,0,465.668,327.625,330.123,1013.284,337.22,0
Laboratory name,VTT,46,20.9984169,104.573328,-1.195E-05,0.05456725,1.001496,1.007828,116.974921,-0.0357,0,0,306.266,327.659,330.128,1013.307,184.048,0
Operator,Anna Matala,47,20.99808676,105.398229,-1.5E-05,0.05456725,1.001791,1.001006,116.974921,-0.0362,0,0,379.368,327.709,330.175,1013.368,296.289,0
Filename,C:\CC5\DATA\09090043.CSV,48,20.99824172,105.950145,-1.61E-05,0.05208016,1.001976,1.007145,116.974921,-0.0361,0,0,511.991,327.703,330.159,1013.439,381.67,0
Report name,,49,20.99871816,107.092942,-1.195E-05,0.05143545,1.001468,0.999803,116.974921,-0.0362,0,0,309.975,327.683,330.171,1013.392,-7.73189899921417E+37,0
,,50,20.99883556,106.114238,-1.5E-05,0.0514463,1.000563,0.994158,116.974921,-0.0362,0,0,183.265,327.735,330.284,1013.458,-2.04237880691365E+37,0
