Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²).Specimen mass (g)
Peaks,,0,-4.06059939373613,-0.0642696933393138,-2.86668809896531,0.631806249999992,63.1806249999992,-6.31704510497198E-06,0.0336220458284192,0,25.6333551058827,-0.0765621840138067,23.5604550026604,23.6564758575887,-0.00181119145772688,-0.181119145772688,0,0,-3.99114857885315E-06,0.0212426186921814,-0.00237746565396605,0,0,119.46
peak HRR (kW/m²),259.814343790802,1,-4.51483020950705,0,0,-0.435209916666637,-43.5209916666637,0,0,0,25.7835699412638,-0.0165034451326644,23.6925360885562,23.7802862222175,-0.000392456648907421,-0.0392456648907421,0,0,-2.95729264635465E-06,0.0213901597851133,-0.00265089037236772,0,0,119.537842
peak EHC (MJ/kg),71.6956841121016,2,-4.31772348920644,0,0,-0.0985205833333336,-9.85205833333336,0,0,0,25.992183261772,0.0370054708421037,23.8714256050241,23.9695265475751,0.000887003615755321,0.0887003615755321,0.00044350180787766,0.044350180787766,-3.77554159018919E-06,0.0215243903646943,-0.0025355997125106,0,0,119.862518
peak MLR (g/s),0.415925666666663,3,-4.26141583645661,-1.89883627374982,-15.5282209865119,0.0224422500000022,2.24422500000022,0.00279403044228826,0.953883714152342,0,25.8463693431166,-0.0146077279616533,23.7564628983625,23.8564284842514,-0.000348488217434582,-0.0348488217434582,0.000887003615755321,0.0887003615755321,6.27043296934499E-05,0.0214072967839375,-0.00247490717938322,0,0,119.740299
peak SEA (m²/kg),629.188815834824,4,-4.35094175960715,0,0,-0.203582583333337,-20.3582583333337,0,0,0,25.7210713839405,0.0539643736723289,23.6631443262674,23.7654655320176,0.00128248846246665,0.128248846246665,0.00152824784698865,0.152824784698865,7.93150609082375E-05,0.0213074503526753,-0.00252305647298742,0,0,119.897409
peak COY (kg/kg),7.87269819666315,5,-4.37092288866671,0,0,-0.150431499999993,-15.0431499999993,0,0,0,25.687388090529,0.082725140432224,23.648156856652,23.7558716309979,0.00196520781676419,0.196520781676419,0.00315209598660407,0.315209598660407,8.02644937466574E-05,0.0212795469620519,-0.00253505184990695,0,0,120.086277
peak CO2Y (kg/kg),328.442753956888,6,-4.56206217343105,0,0,-0.0662827500000027,-6.62827500000027,0,0,0,25.64718533055,0.03925360257477,23.6290095031286,23.7412758187054,0.000931930605605457,0.0931930605605457,0.00460066519778889,0.460066519778889,8.0406747244165E-05,0.0212462428162211,-0.00265214376578629,0,0,120.187351
,,7,-4.52270047186043,0,0,-0.151547750000004,-15.1547750000004,0,0,0,25.6594082483792,0.120431619904574,23.6587968316468,23.7748218973321,0.00286324031403845,0.286324031403845,0.00649825065761084,0.649825065761084,7.93929140462277E-05,0.021287154714208,-0.00262369824143104,0,0,120.254657
Time To Peaks,,8,-4.32729482348519,0,0,-0.0648012500000081,-6.48012500000081,0,0,0,25.8275395373609,0.0691035831033174,23.8307849497154,23.9510072735831,0.00165510042153821,0.165510042153821,0.00875742102539917,0.875742102539917,8.07024201285914E-05,0.0214190353316629,-0.00250401270449735,0,0,120.449056
t peak HRR (s),43,9,-4.26452876097298,-0.33606553103417,3.99278522067751,0.126895750000002,12.6895750000002,0.000636390939127533,0.168309293424289,0,25.7583642906006,0.0211813258331634,23.7886914723685,23.9204797262271,0.000506667475166794,0.0506667475166794,0.00983830497375167,0.983830497375167,8.07553055137936E-05,0.0213577340210455,-0.00246648029615632,0,0,120.361344
t peak EHC (s),714,10,-4.33184561811816,-1.0721704556313,30.9043828182279,0.0404025833333333,4.04025833333333,0.00198451702393091,0.524854515597289,0,25.5747372160476,0.0525318004759742,23.6390192077957,23.768781782946,0.00124861690217869,0.124861690217869,0.0107159471624244,1.07159471624244,8.01796144357873E-05,0.0212054783042958,-0.00250870211876903,0,0,120.263232
t peak MLR (s),25,11,-4.4211729555892,0,0,-0.0700725833333351,-7.00725833333351,0,0,0,25.378504946037,0.00482911553964324,23.4728730851455,23.6053765458038,0.000113993090696471,0.0113993090696471,0.011397252158862,1.1397252158862,7.95644046834293E-05,0.021042770898579,-0.00256446423501924,0,0,120.290814
t peak SEA (s),811,12,-4.39519170868622,0,0,-0.0429740833333341,-4.29740833333341,0,0,0,25.4013884761989,0.0121466079852044,23.5077753017226,23.6466553953045,0.000287226653247983,0.0287226653247983,0.0115978620308342,1.15978620308342,0.000146264909388571,0.0210617449430931,-0.00252209640192069,0,0,120.369647
t peak COY (s),838,13,-4.39394842505631,0,0,-0.00656116666666406,-0.656116666666406,0,0,0,25.5052650206218,0.0523963358269185,23.6109852104195,23.748844500978,0.00124435243197451,0.124435243197451,0.0123636515734455,1.23636515734455,0.000161813028424615,0.021132570337551,-0.00251707838278557,0,0,120.371793
