s, (kW/m²), (MJ/kg), (m²/kg), (g/s),(g/s·m²),g
Time,HRR,EHC,SEA,MLR,Specific MLR ,Mass
0,-4.060599394,-0.064269693,-2.866688099,0.63180625,63.180625,119.46
1,-4.51483021,0,0,-0.435209917,-43.52099167,119.537842
2,-4.317723489,0,0,-0.098520583,-9.852058333,119.862518
3,-4.261415836,-1.898836274,-15.52822099,0.02244225,2.244225,119.740299
4,-4.35094176,0,0,-0.203582583,-20.35825833,119.897409
5,-4.370922889,0,0,-0.1504315,-15.04315,120.086277
6,-4.562062173,0,0,-0.06628275,-6.628275,120.187351
7,-4.522700472,0,0,-0.15154775,-15.154775,120.254657
8,-4.327294823,0,0,-0.06480125,-6.480125,120.449056
9,-4.264528761,-0.336065531,3.992785221,0.12689575,12.689575,120.361344
10,-4.331845618,-1.072170456,30.90438282,0.040402583,4.040258333,120.263232
11,-4.421172956,0,0,-0.070072583,-7.007258333,120.290814
12,-4.395191709,0,0,-0.042974083,-4.297408333,120.369647
13,-4.393948425,0,0,-0.006561167,-0.656116667,120.371793
14,-4.243953681,0,0,-0.022808583,-2.280858333,120.395375
15,-4.38321972,0,0,-0.045105667,-4.510566667,120.417904
16,-4.541342569,-2.291957843,279.4833168,0.01981425,1.981425,120.464832
17,-4.421319348,-0.851297379,171.3374414,0.05193625,5.193625,120.386181
18,-0.374009207,-0.453536902,1441.084669,0.0082465,0.82465,120.379362
19,23.59943741,10.3836867,633.8932433,0.022727417,2.272741667,120.357379
20,57.40296703,19.61706563,541.0253397,0.02926175,2.926175,120.333374
21,92.05434405,13.46530803,194.8656694,0.068364083,6.836408333,120.291006
22,126.8184607,11.99921096,152.4029793,0.105689,10.5689,120.199519
23,156.5545761,0,0,-0.007302833,-0.730283333,120.106908
24,178.2315922,7.266975291,41.14367715,0.245262417,24.52624167,120.128858
25,196.2178576,4.717618394,25.57421987,0.415925667,41.59256667,119.638084
26,211.4685478,10.84208059,64.2492605,0.19504425,19.504425,119.392076
27,222.3026239,11.69371681,72.56553767,0.190104333,19.01043333,119.20376
28,233.0299378,10.0393021,68.81299537,0.232117667,23.21176667,118.994797
29,241.8663491,9.068083795,53.35473083,0.266722667,26.67226667,118.741104
30,247.9339037,9.961342114,69.38297354,0.248896083,24.88960833,118.47624
31,250.1297339,13.79284792,97.75072489,0.181347417,18.13474167,118.255976
32,252.9935928,14.71009864,115.6399675,0.171986333,17.19863333,118.100526
33,253.0947682,15.91959536,107.6467519,0.158983167,15.89831667,117.911561
34,253.6904126,20.01802342,140.7232018,0.126731,12.6731,117.784756
35,254.2201908,13.79339445,91.19409631,0.18430575,18.430575,117.637614
36,255.1722521,13.7034605,96.85242142,0.186210083,18.62100833,117.429722
37,256.4532555,23.02856996,165.6578239,0.111363083,11.13630833,117.282958
38,258.720609,18.08283466,138.5649213,0.14307525,14.307525,117.182029
39,257.7044463,13.81163176,115.4633731,0.186585083,18.65850833,116.992427
40,259.1071301,15.04146332,120.0188317,0.172261917,17.22619167,116.822377
41,258.2067077,14.06026595,135.9358331,0.183642833,18.36428333,116.644763
42,258.681227,17.86191928,146.3789462,0.14482275,14.482275,116.46786
43,259.8143438,32.36701485,236.5768997,0.080271333,8.027133333,116.360005
44,257.5010149,22.1532611,179.3071705,0.116236167,11.62361667,116.282186
45,256.811067,16.0230186,137.5421984,0.160276333,16.02763333,116.122627
