 (s), (kW/m²), (MJ/kg), (m²/kg),(g/s), (g/s·m²)
Time,HRR,EHC,SEA,MLR ,Specific MLR
0,-0.859490102,-0.068101968,0.33428827,0.111566417,12.62063537
1,-0.776871106,-0.018310996,0.011324214,0.375050083,42.42648002
2,-0.532057612,-0.044778298,0.625754412,0.10503725,11.88204186
3,-0.332516251,0,0,-0.057682167,-6.525131976
4,-0.824670814,-0.738679546,1.636713153,0.009869083,1.116412142
5,-2.175335626,-0.729577742,-1.323119855,0.026357667,2.981636501
6,-5.173096236,-1.384682278,2.955319689,0.03302575,3.73594457
7,-6.060157051,-0.759090336,5.104554951,0.070573667,7.983446456
8,-1.338811602,-0.342335088,17.18593701,0.034571667,3.910822021
9,16.63771463,0,0,-0.022202333,-2.511576169
10,43.56523707,0,0,-0.010183917,-1.152026772
11,77.79573343,12.43297161,48.9568383,0.05531375,6.257211538
12,117.2530715,10.04048727,12.11659042,0.10323375,11.67802602
13,146.0228277,22.23113855,54.00058002,0.058064583,6.56839178
14,170.572601,14.74665836,88.84738392,0.102251083,11.56686463
15,200.0622462,9.30790205,72.2880103,0.19000525,21.49380656
16,212.6226161,12.05020487,80.38407527,0.155979417,17.64473039
17,232.2104407,15.99427803,109.9205196,0.128342167,14.51834465
18,248.7073012,15.55534163,101.3496153,0.14133875,15.98854638
19,246.109807,12.7374133,87.07015709,0.17080475,19.3218043
20,252.2018733,12.80883712,89.67578257,0.17405675,19.6896776
21,257.0331895,11.97798788,81.49458277,0.18969575,21.45879525
22,265.7452921,12.23180448,83.50213861,0.19205575,21.72576357
23,263.9738972,12.26442823,73.5427289,0.190268083,21.52353884
24,268.4361212,10.9530068,81.33058118,0.216650583,24.50798454
25,277.6491773,16.88012999,144.7421231,0.145402833,16.44828431
26,267.6454856,14.90388852,107.699952,0.158749583,17.95809766
27,271.7747697,10.44364033,85.41496605,0.23004325,26.02299208
28,268.924839,13.99411388,110.113293,0.16987825,19.21699661
29,265.5559182,17.33407161,133.6006043,0.13542775,15.31988122
30,264.9768921,11.38409765,96.93735603,0.205760333,23.27605581
31,261.7606773,12.38024848,82.57751778,0.18690775,21.14341063
32,260.884332,24.00440797,164.5859307,0.09607475,10.86818439
33,263.4641875,15.52457172,105.434693,0.15002175,16.9707862
34,262.6196171,11.2793466,84.62331553,0.20582375,23.28322964
35,256.1258548,12.35818617,105.9942052,0.18321075,20.72519796
36,247.7385839,12.58886368,96.58540484,0.173964,19.67918552
37,256.5137789,9.267436326,64.92369007,0.24468275,27.67904412
38,251.6056196,12.22155507,95.63822643,0.181989417,20.58703808
39,237.7064661,22.25528179,175.8942092,0.094419167,10.68090121
40,242.0256432,13.17971264,107.9913106,0.162333333,18.36349925
41,244.9436428,17.96020526,129.0232345,0.120561083,13.6381316
42,242.1605532,19.13099444,142.3440354,0.111896917,12.65802225
43,240.7165487,14.79789979,109.1287882,0.14379975,16.26694005
44,242.5589217,11.55744954,80.91254127,0.185527167,20.98723605
45,233.7981825,8.619728193,50.7066217,0.23977275,27.12361425
46,232.021768,11.49090226,79.51946657,0.178495333,20.19177979
47,233.5606819,16.6977921,122.337919,0.123649667,13.98751885
48,229.3133705,12.56453209,83.34125059,0.1613375,18.25084842
49,224.7716543,15.0073559,87.04031771,0.1324005,14.97743213
50,227.1512075,16.36522072,101.2962556,0.12270025,13.88011878
51,221.4979784,10.00204564,68.34240007,0.195764167,22.14526772
52,227.0765322,12.00810894,73.89515558,0.16716675,18.91026584
53,227.5351662,12.90167472,68.56569384,0.155903083,17.6360954
54,223.1828435,12.55322064,72.03608649,0.15716575,17.778931
55,224.5806016,12.30651106,71.64427477,0.1613205,18.24892534
56,220.6302307,10.16196781,63.73221972,0.1919285,21.71136878
57,220.5763954,15.31706322,101.7599768,0.127302167,14.40069759
58,214.3311637,23.45960325,141.9415728,0.080763833,9.136180241
59,218.0389381,11.8541328,65.89215824,0.1625985,18.39349548
60,217.7251363,7.84777436,40.54789701,0.245253,27.74355204
61,216.5550003,11.50980468,54.21537273,0.166323083,18.81482843
62,219.3227417,18.31212516,93.67587341,0.105875917,11.97691365
63,211.4964781,13.45155931,76.17351346,0.13898975,15.7228224
64,210.1151162,11.30629317,54.52948767,0.16428175,18.58390837
65,210.2218081,11.19923414,53.6513884,0.165936417,18.77108786
66,209.415887,13.42147566,54.25540113,0.137930917,15.60304487
67,210.5561313,25.86730194,100.104283,0.071956333,8.139856712
68,209.3723572,18.70984996,81.02392805,0.098923917,11.19048831
