s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-2.1316282E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1316282E-020, 0.0000000E+000, 0.0000000E+000
 1.5000000E+000, 0.0000000E+000,-7.8410054E-008, 2.6472803E-005, 1.4045809E-003, 1.8157704E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5150709E-005, 1.4327911E-003, 7.9363242E-017, 3.3083012E-008
 2.5000000E+000, 0.0000000E+000, 3.7040703E-005, 4.1349188E-003, 7.0568527E-003, 5.3689466E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8016738E-003, 1.1765707E-002, 2.8952941E-013, 1.9925142E-005
 3.6526747E+000, 1.2132314E-007, 2.9077727E-005, 6.5211029E-003, 8.2484428E-003, 1.7308165E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5590694E-002, 1.6529561E-002, 1.3572664E-011, 2.9571284E-005
 4.8770046E+000, 2.3351591E-006, 4.2632807E-004, 5.6987842E-003, 1.1546467E-002, 2.2009529E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9992288E-002, 1.9874867E-002, 1.8059724E-010, 2.9450576E-005
 6.0318756E+000, 1.6096241E-005, 7.1418430E-004,-8.9019780E-003, 1.3467573E-002, 2.5798528E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8969479E-003, 7.8757286E-003, 1.1766521E-009, 2.7889918E-005
 7.2759118E+000, 7.6499755E-005, 8.8286395E-004,-1.7824249E-002, 1.5445258E-002, 2.7146066E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5263502E-004, 1.2949801E-003, 5.4068424E-009, 2.6345712E-005
 8.4462929E+000, 2.6998703E-004, 1.0225853E-003,-2.1056034E-002, 1.6762594E-002, 2.6922461E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0145331E-004,-3.0862162E-004, 1.8589580E-008, 2.4992299E-005
 9.6793518E+000, 7.8897621E-004, 1.1741163E-003,-1.9964987E-002, 1.8791948E-002, 2.8981889E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3107723E-003, 3.6882427E-003, 5.2509921E-008, 2.3870720E-005
 1.0850482E+001, 1.9258534E-003, 1.3264764E-003,-1.9348318E-002, 2.0306553E-002, 3.1153940E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8759414E-003, 7.3259593E-003, 1.2598568E-007, 2.2916697E-005
 1.2067486E+001, 4.1376698E-003, 1.4478374E-003,-2.4273555E-002, 2.1366740E-002, 3.3217247E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9698323E-003, 6.0004168E-003, 2.6690695E-007, 2.2153839E-005
 1.3244476E+001, 8.0138234E-003, 1.5649411E-003,-2.7368324E-002, 2.1933427E-002, 3.5564424E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7339269E-003, 7.7003101E-003, 5.1513990E-007, 2.1600072E-005
 1.4402994E+001, 1.4188852E-002, 1.0413360E-003,-3.8038716E-002, 2.2641095E-002, 3.4247962E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1890738E-003, 3.2573632E-003, 9.0238592E-007, 2.1288355E-005
 1.5626074E+001, 2.3993311E-002,-3.8282303E-003,-4.1886671E-002, 2.3776059E-002, 3.5026627E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2316403E-003, 5.5571313E-003, 1.5080649E-006, 2.1253617E-005
 1.6859886E+001, 3.8737140E-002,-8.2890016E-003,-4.6972298E-002, 2.4322912E-002, 3.6114565E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0751086E-002, 1.1410209E-002, 2.4224867E-006, 2.1575787E-005
 1.8029093E+001, 5.9206226E-002,-1.4382870E-002,-5.3297048E-002, 2.3594824E-002, 3.9168824E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9324307E-002, 1.9038015E-002, 3.6878648E-006, 2.2319665E-005
 1.9262527E+001, 8.6457248E-002,-2.1678977E-002,-8.1178209E-002, 2.3327824E-002, 4.1769459E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0842507E-002, 1.1104832E-002, 5.3779073E-006, 2.3541274E-005
