s,kg,C,kW,m
Time,"null","null","null","null"
 0.0000000E+000, 1.4215082E+001, 2.0000000E+001, 0.0000000E+000, 5.0000000E-002
 1.5000000E+000, 1.4214867E+001, 9.6651285E+001, 0.0000000E+000, 4.9999785E-002
 2.5000000E+000, 1.4210588E+001, 1.8650381E+002, 3.5203721E-006, 4.9995506E-002
 3.6738333E+000, 1.4207093E+001, 2.2541570E+002, 3.1624968E-003, 4.9992012E-002
 4.8046019E+000, 1.4202955E+001, 2.6140471E+002, 4.3470054E-002, 4.9987874E-002
 6.0485737E+000, 1.4198979E+001, 2.9141828E+002, 3.1476252E-001, 4.9983897E-002
 7.2370585E+000, 1.4195158E+001, 3.1686502E+002, 1.4082680E+000, 4.9980081E-002
 8.4383882E+000, 1.4191499E+001, 3.3745587E+002, 4.5821854E+000, 4.9976443E-002
 9.6205837E+000, 1.4187656E+001, 3.5521699E+002, 1.1731541E+001, 4.9972658E-002
 1.0820946E+001, 1.4183200E+001, 3.7099318E+002, 2.4822759E+001, 4.9968313E-002
 1.2002587E+001, 1.4177628E+001, 3.8584957E+002, 4.4986466E+001, 4.9962841E-002
 1.3226548E+001, 1.4170407E+001, 4.0058792E+002, 6.9882885E+001, 4.9955334E-002
 1.4402944E+001, 1.4161442E+001, 4.0910167E+002, 9.3718144E+001, 4.9945630E-002
 1.5626400E+001, 1.4150806E+001, 4.1800217E+002, 1.1455672E+002, 4.9934203E-002
 1.6821627E+001, 1.4138501E+001, 4.3204522E+002, 1.3353911E+002, 4.9919728E-002
 1.8005715E+001, 1.4124758E+001, 4.3414425E+002, 1.5357649E+002, 4.9900947E-002
 1.9207570E+001, 1.4109087E+001, 4.4491574E+002, 1.7940094E+002, 4.9881406E-002
 2.0407411E+001, 1.4090965E+001, 4.4174427E+002, 2.0390969E+002, 4.9856158E-002
 2.1613872E+001, 1.4071214E+001, 4.4776938E+002, 2.1949174E+002, 4.9833240E-002
 2.2810470E+001, 1.4050196E+001, 4.4612037E+002, 2.3542806E+002, 4.9806393E-002
 2.4013817E+001, 1.4027402E+001, 4.6330846E+002, 2.5462572E+002, 4.9778464E-002
 2.5207436E+001, 1.4003237E+001, 4.6027298E+002, 2.6784079E+002, 4.9744172E-002
 2.6406635E+001, 1.3979142E+001, 4.7014625E+002, 2.6398683E+002, 4.9712279E-002
 2.7617053E+001, 1.3954827E+001, 4.6742839E+002, 2.5852450E+002, 4.9677475E-002
 2.8803285E+001, 1.3930543E+001, 4.6770197E+002, 2.7334187E+002, 4.9648260E-002
 3.0019181E+001, 1.3906408E+001, 4.6489341E+002, 2.5358858E+002, 4.9619450E-002
 3.1208837E+001, 1.3884015E+001, 4.6201869E+002, 2.3857651E+002, 4.9593423E-002
 3.2405308E+001, 1.3862292E+001, 4.5549440E+002, 2.3981495E+002, 4.9570768E-002
 3.3611677E+001, 1.3839631E+001, 4.5060286E+002, 2.4191440E+002, 4.9550976E-002
 3.4824536E+001, 1.3817778E+001, 4.5156990E+002, 2.3289128E+002, 4.9532941E-002
 3.6003844E+001, 1.3795487E+001, 4.5478716E+002, 2.5538408E+002, 4.9514763E-002
 3.7214868E+001, 1.3771954E+001, 4.5473581E+002, 2.5220873E+002, 4.9495944E-002
 3.8417595E+001, 1.3749783E+001, 4.5497820E+002, 2.2584500E+002, 4.9476897E-002
 3.9601417E+001, 1.3729457E+001, 4.5859304E+002, 2.2137610E+002, 4.9458105E-002
 4.0808581E+001, 1.3708263E+001, 4.7440247E+002, 2.4454770E+002, 4.9436850E-002
 4.2013680E+001, 1.3684715E+001, 4.8831074E+002, 2.6200162E+002, 4.9409092E-002
 4.3218089E+001, 1.3659826E+001, 4.8920367E+002, 2.8166545E+002, 4.9376402E-002
 4.4413330E+001, 1.3633692E+001, 4.9278111E+002, 2.9779496E+002, 4.9343753E-002
 4.5619091E+001, 1.3606139E+001, 4.9059674E+002, 3.0807546E+002, 4.9310878E-002
 4.6802846E+001, 1.3578761E+001, 4.9122589E+002, 3.0323266E+002, 4.9281367E-002
 4.8012558E+001, 1.3552014E+001, 4.9465909E+002, 2.9311126E+002, 4.9251849E-002
 4.9208059E+001, 1.3526272E+001, 4.9415667E+002, 2.8247586E+002, 4.9222998E-002
 5.0414745E+001, 1.3500968E+001, 4.9453024E+002, 2.7755325E+002, 4.9194831E-002
 5.1620053E+001, 1.3475841E+001, 4.9225621E+002, 2.7527200E+002, 4.9167245E-002
 5.2818011E+001, 1.3450463E+001, 4.8716939E+002, 2.8425445E+002, 4.9141520E-002
 5.4000414E+001, 1.3425957E+001, 4.9002364E+002, 2.6649667E+002, 4.9117662E-002
 5.5210424E+001, 1.3402253E+001, 4.8560503E+002, 2.5281202E+002, 4.9094369E-002
 5.6421231E+001, 1.3379077E+001, 4.9588941E+002, 2.5163815E+002, 4.9071648E-002
 5.7614456E+001, 1.3356260E+001, 5.0364150E+002, 2.4876647E+002, 4.9046839E-002
 5.8801867E+001, 1.3333840E+001, 5.0915862E+002, 2.4608332E+002, 4.9019652E-002
 6.0017855E+001, 1.3311360E+001, 5.1225008E+002, 2.4764047E+002, 4.8990789E-002
 6.1200110E+001, 1.3288459E+001, 5.1501792E+002, 2.5273253E+002, 4.8960944E-002
 6.2414387E+001, 1.3265545E+001, 5.2284908E+002, 2.5383362E+002, 4.8930924E-002
 6.3619014E+001, 1.3241819E+001, 5.1989504E+002, 2.6265915E+002, 4.8899653E-002
 6.4807674E+001, 1.3218001E+001, 5.2338955E+002, 2.6363337E+002, 4.8869483E-002
 6.6015285E+001, 1.3194312E+001, 5.3124535E+002, 2.5929469E+002, 4.8839788E-002
 6.7223396E+001, 1.3171132E+001, 5.2539148E+002, 2.4645380E+002, 4.8809542E-002
 6.8400248E+001, 1.3149439E+001, 5.2774233E+002, 2.3535068E+002, 4.8781560E-002
 6.9614378E+001, 1.3128242E+001, 5.3088864E+002, 2.3343339E+002, 4.8754235E-002
 7.0805363E+001, 1.3106699E+001, 5.2325131E+002, 2.4034256E+002, 4.8726921E-002
 7.2014895E+001, 1.3084617E+001, 5.0998699E+002, 2.4267902E+002, 4.8701491E-002
 7.3212780E+001, 1.3062472E+001, 5.1955160E+002, 2.4336362E+002, 4.8679277E-002
 7.4402397E+001, 1.3040364E+001, 5.3040157E+002, 2.4753414E+002, 4.8658011E-002
 7.5610458E+001, 1.3017544E+001, 5.1995725E+002, 2.5694230E+002, 4.8634189E-002
 7.6801977E+001, 1.2994255E+001, 5.2206436E+002, 2.5807711E+002, 4.8611577E-002
 7.8021727E+001, 1.2970640E+001, 5.2356655E+002, 2.5870329E+002, 4.8589356E-002
 7.9205857E+001, 1.2946856E+001, 5.1813172E+002, 2.6635155E+002, 4.8567414E-002
 8.0404448E+001, 1.2923172E+001, 5.2817465E+002, 2.6464777E+002, 4.8546099E-002
 8.1625590E+001, 1.2899334E+001, 5.2773427E+002, 2.5901914E+002, 4.8524414E-002
 8.2820588E+001, 1.2876068E+001, 5.3323996E+002, 2.5386058E+002, 4.8502633E-002
 8.4014885E+001, 1.2853331E+001, 5.3078671E+002, 2.5408032E+002, 4.8480631E-002
 8.5221149E+001, 1.2830318E+001, 5.3127797E+002, 2.5208759E+002, 4.8458071E-002
 8.6421125E+001, 1.2807681E+001, 5.2862173E+002, 2.4598587E+002, 4.8436140E-002
 8.7619245E+001, 1.2785596E+001, 5.3026231E+002, 2.4172824E+002, 4.8414948E-002
 8.8819949E+001, 1.2763773E+001, 5.3430985E+002, 2.4005167E+002, 4.8393921E-002
 9.0014667E+001, 1.2741905E+001, 5.2552155E+002, 2.4194728E+002, 4.8373126E-002
 9.1215128E+001, 1.2719987E+001, 5.2593745E+002, 2.4063458E+002, 4.8352455E-002
 9.2401866E+001, 1.2698462E+001, 5.4023520E+002, 2.3465227E+002, 4.8333490E-002
 9.3610965E+001, 1.2677384E+001, 5.4661891E+002, 2.3090862E+002, 4.8313817E-002
 9.4808961E+001, 1.2656373E+001, 5.4141380E+002, 2.3080141E+002, 4.8292902E-002
 9.6005111E+001, 1.2635573E+001, 5.4187694E+002, 2.2915227E+002, 4.8271094E-002
 9.7226295E+001, 1.2614666E+001, 5.5322391E+002, 2.2691217E+002, 4.8250162E-002
 9.8400450E+001, 1.2594009E+001, 5.4396431E+002, 2.2777478E+002, 4.8228951E-002
 9.9611498E+001, 1.2573506E+001, 5.5459890E+002, 2.2632221E+002, 4.8207540E-002
 1.0080213E+002, 1.2552997E+001, 5.5690097E+002, 2.2544529E+002, 4.8186726E-002
 1.0202276E+002, 1.2532286E+001, 5.4630725E+002, 2.2972445E+002, 4.8164935E-002
 1.0320027E+002, 1.2511382E+001, 5.4698878E+002, 2.3191528E+002, 4.8143670E-002
 1.0441563E+002, 1.2490412E+001, 5.5481135E+002, 2.3159949E+002, 4.8123430E-002
 1.0560587E+002, 1.2469413E+001, 5.6729547E+002, 2.3152631E+002, 4.8104202E-002
 1.0680609E+002, 1.2448396E+001, 5.6004361E+002, 2.3453500E+002, 4.8084370E-002
 1.0801621E+002, 1.2427115E+001, 5.5901848E+002, 2.3423332E+002, 4.8063202E-002
 1.0921172E+002, 1.2405878E+001, 5.4850013E+002, 2.3412096E+002, 4.8042293E-002
 1.1041235E+002, 1.2384899E+001, 5.4204038E+002, 2.3041791E+002, 4.8021919E-002
 1.1161620E+002, 1.2364071E+001, 5.4288024E+002, 2.2703966E+002, 4.8002547E-002
 1.1280390E+002, 1.2343680E+001, 5.3784480E+002, 2.2336779E+002, 4.7984694E-002
 1.1401424E+002, 1.2323561E+001, 5.4270509E+002, 2.1942723E+002, 4.7967343E-002
 1.1520022E+002, 1.2303760E+001, 5.4548952E+002, 2.1843054E+002, 4.7950796E-002
 1.1640110E+002, 1.2284187E+001, 5.4398433E+002, 2.1588354E+002, 4.7934163E-002
 1.1760240E+002, 1.2264454E+001, 5.3835268E+002, 2.1842036E+002, 4.7917194E-002
 1.1880666E+002, 1.2244613E+001, 5.4057883E+002, 2.1937650E+002, 4.7900379E-002
 1.2001012E+002, 1.2224582E+001, 5.3849546E+002, 2.2173362E+002, 4.7883878E-002
 1.2120203E+002, 1.2204516E+001, 5.4583490E+002, 2.2118468E+002, 4.7867684E-002
 1.2240743E+002, 1.2184468E+001, 5.3722396E+002, 2.2077107E+002, 4.7851657E-002
 1.2360620E+002, 1.2164429E+001, 5.4831746E+002, 2.2064890E+002, 4.7835459E-002
 1.2481036E+002, 1.2144463E+001, 5.5056688E+002, 2.2115088E+002, 4.7819385E-002
 1.2600781E+002, 1.2124612E+001, 5.5668794E+002, 2.1826058E+002, 4.7803362E-002
 1.2721573E+002, 1.2104770E+001, 5.5753460E+002, 2.1919428E+002, 4.7787115E-002
 1.2841300E+002, 1.2084898E+001, 5.5971701E+002, 2.1888909E+002, 4.7769941E-002
 1.2961757E+002, 1.2065039E+001, 5.5470915E+002, 2.1868722E+002, 4.7752499E-002
 1.3081402E+002, 1.2045237E+001, 5.6041293E+002, 2.1754989E+002, 4.7734907E-002
 1.3200362E+002, 1.2025823E+001, 5.5344073E+002, 2.1279908E+002, 4.7717493E-002
 1.3321916E+002, 1.2006490E+001, 5.5993169E+002, 2.1187544E+002, 4.7700023E-002
 1.3441529E+002, 1.1987356E+001, 5.6764873E+002, 2.0853331E+002, 4.7683004E-002
 1.3560653E+002, 1.1968563E+001, 5.6479282E+002, 2.0829436E+002, 4.7666618E-002
 1.3680254E+002, 1.1949814E+001, 5.5223678E+002, 2.0766939E+002, 4.7649157E-002
 1.3800597E+002, 1.1930966E+001, 5.6417369E+002, 2.0765519E+002, 4.7631685E-002
 1.3921945E+002, 1.1912007E+001, 5.5979991E+002, 2.0615870E+002, 4.7614782E-002
 1.4040755E+002, 1.1893267E+001, 5.5525464E+002, 2.0656746E+002, 4.7598056E-002
 1.4160413E+002, 1.1874749E+001, 5.5845547E+002, 2.0540141E+002, 4.7581477E-002
 1.4281649E+002, 1.1856117E+001, 5.6556190E+002, 2.0357580E+002, 4.7565245E-002
 1.4400555E+002, 1.1837579E+001, 5.5968121E+002, 2.0379535E+002, 4.7549543E-002
 1.4522706E+002, 1.1818940E+001, 5.5708054E+002, 2.0195588E+002, 4.7533194E-002
 1.4641315E+002, 1.1800439E+001, 5.5025390E+002, 2.0278164E+002, 4.7516798E-002
 1.4760825E+002, 1.1782390E+001, 5.5834393E+002, 1.9906861E+002, 4.7500895E-002
 1.4880894E+002, 1.1764355E+001, 5.6764592E+002, 1.9890053E+002, 4.7485850E-002
 1.5001795E+002, 1.1746269E+001, 5.7125188E+002, 1.9715165E+002, 4.7470997E-002
 1.5120220E+002, 1.1728412E+001, 5.7450098E+002, 1.9650564E+002, 4.7456054E-002
 1.5241859E+002, 1.1710598E+001, 5.7780512E+002, 1.9563628E+002, 4.7440793E-002
 1.5361158E+002, 1.1692847E+001, 5.6799152E+002, 1.9542839E+002, 4.7424963E-002
 1.5482172E+002, 1.1675135E+001, 5.6257277E+002, 1.9456119E+002, 4.7408331E-002
 1.5600948E+002, 1.1657405E+001, 5.6749621E+002, 1.9490324E+002, 4.7391857E-002
 1.5720911E+002, 1.1639727E+001, 5.6332084E+002, 1.9610089E+002, 4.7376035E-002
 1.5840737E+002, 1.1621983E+001, 5.6282613E+002, 1.9581183E+002, 4.7360213E-002
 1.5962212E+002, 1.1604153E+001, 5.6925460E+002, 1.9527906E+002, 4.7344750E-002
 1.6080412E+002, 1.1586451E+001, 5.6218104E+002, 1.9640677E+002, 4.7329732E-002
 1.6202098E+002, 1.1568717E+001, 5.6758615E+002, 1.9495275E+002, 4.7314535E-002
 1.6321389E+002, 1.1550877E+001, 5.8157497E+002, 1.9620213E+002, 4.7299877E-002
 1.6441876E+002, 1.1533150E+001, 5.8711761E+002, 1.9627549E+002, 4.7285851E-002
 1.6561905E+002, 1.1515265E+001, 5.8229227E+002, 1.9687968E+002, 4.7271637E-002
 1.6680264E+002, 1.1497456E+001, 5.8255556E+002, 1.9776100E+002, 4.7256625E-002
 1.6800673E+002, 1.1479622E+001, 5.9635785E+002, 1.9842824E+002, 4.7241616E-002
 1.6921397E+002, 1.1461644E+001, 5.8360357E+002, 1.9637776E+002, 4.7226800E-002
 1.7041887E+002, 1.1443740E+001, 5.8482100E+002, 1.9678285E+002, 4.7210794E-002
 1.7162155E+002, 1.1426065E+001, 5.8366628E+002, 1.9309904E+002, 4.7194867E-002
 1.7282084E+002, 1.1408562E+001, 5.9186248E+002, 1.9086934E+002, 4.7179295E-002
 1.7401931E+002, 1.1391261E+001, 5.9236353E+002, 1.9010147E+002, 4.7164357E-002
 1.7520843E+002, 1.1374189E+001, 5.8695338E+002, 1.8834993E+002, 4.7149307E-002
 1.7642245E+002, 1.1357170E+001, 5.9637427E+002, 1.8491544E+002, 4.7133951E-002
 1.7762857E+002, 1.1340163E+001, 5.8490363E+002, 1.8172976E+002, 4.7118823E-002
 1.7880097E+002, 1.1323607E+001, 5.7953790E+002, 1.8345858E+002, 4.7103473E-002
 1.8000959E+002, 1.1307181E+001, 5.7351299E+002, 1.8163938E+002, 4.7087909E-002
 1.8121757E+002, 1.1290630E+001, 5.8162378E+002, 1.8047869E+002, 4.7072311E-002
 1.8240009E+002, 1.1274255E+001, 5.9286828E+002, 1.8078026E+002, 4.7057852E-002
 1.8360754E+002, 1.1257844E+001, 5.8805771E+002, 1.7859958E+002, 4.7044134E-002
 1.8480860E+002, 1.1241372E+001, 5.8786584E+002, 1.8190431E+002, 4.7030056E-002
 1.8602048E+002, 1.1224939E+001, 5.9762598E+002, 1.7885354E+002, 4.7016015E-002
 1.8721668E+002, 1.1208578E+001, 5.9274507E+002, 1.7463619E+002, 4.7002298E-002
 1.8841582E+002, 1.1192405E+001, 5.8540538E+002, 1.7617622E+002, 4.6988201E-002
 1.8962175E+002, 1.1176317E+001, 5.8030667E+002, 1.7536718E+002, 4.6973508E-002
 1.9082444E+002, 1.1160391E+001, 5.8411825E+002, 1.7299197E+002, 4.6958646E-002
 1.9201807E+002, 1.1144660E+001, 6.0125937E+002, 1.7279491E+002, 4.6944662E-002
 1.9320636E+002, 1.1129055E+001, 5.9632231E+002, 1.7261953E+002, 4.6931447E-002
 1.9440476E+002, 1.1113391E+001, 5.9225205E+002, 1.7278925E+002, 4.6918047E-002
 1.9562101E+002, 1.1097490E+001, 5.9937136E+002, 1.7438186E+002, 4.6904213E-002
 1.9681239E+002, 1.1081563E+001, 5.9848185E+002, 1.7537924E+002, 4.6890475E-002
 1.9801284E+002, 1.1065688E+001, 6.0123163E+002, 1.7614371E+002, 4.6876981E-002
 1.9920288E+002, 1.1049706E+001, 6.0869777E+002, 1.7623280E+002, 4.6863400E-002
 2.0041647E+002, 1.1033574E+001, 6.0625098E+002, 1.7754374E+002, 4.6850068E-002
 2.0160771E+002, 1.1017400E+001, 6.0587398E+002, 1.7756722E+002, 4.6836511E-002
 2.0281729E+002, 1.1001251E+001, 6.1116338E+002, 1.7635236E+002, 4.6822816E-002
 2.0402243E+002, 1.0985134E+001, 6.0211941E+002, 1.7633945E+002, 4.6809073E-002
 2.0521292E+002, 1.0969169E+001, 5.9446267E+002, 1.7428582E+002, 4.6794923E-002
 2.0640958E+002, 1.0953384E+001, 6.0817282E+002, 1.7404054E+002, 4.6780517E-002
