s,kg,C,kW,m
Time,"null","null","null","null"
 0.0000000E+000, 1.4215082E+001, 2.0000000E+001, 0.0000000E+000, 5.0000000E-002
 1.5000000E+000, 1.4215079E+001, 6.7773546E+001, 0.0000000E+000, 4.9999997E-002
 2.5000000E+000, 1.4213755E+001, 1.3711016E+002, 0.0000000E+000, 4.9998673E-002
 3.6526748E+000, 1.4211026E+001, 1.6320083E+002, 1.2132314E-005, 4.9995945E-002
 4.8770048E+000, 1.4207702E+001, 1.8817003E+002, 2.3351590E-004, 4.9992624E-002
 6.0318754E+000, 1.4204309E+001, 2.1086538E+002, 1.6096245E-003, 4.9989227E-002
 7.2759119E+000, 1.4201069E+001, 2.3029712E+002, 7.6499989E-003, 4.9985984E-002
 8.4462922E+000, 1.4197976E+001, 2.4731959E+002, 2.6999069E-002, 4.9982889E-002
 9.6793492E+000, 1.4195050E+001, 2.6205299E+002, 7.8901375E-002, 4.9979961E-002
 1.0850468E+001, 1.4192249E+001, 2.7524420E+002, 1.9261238E-001, 4.9977157E-002
 1.2067442E+001, 1.4189568E+001, 2.8704057E+002, 4.1390953E-001, 4.9974464E-002
 1.3244368E+001, 1.4186957E+001, 2.9793057E+002, 8.0198185E-001, 4.9971829E-002
 1.4402691E+001, 1.4184459E+001, 3.0772875E+002, 1.4208831E+000, 4.9969282E-002
 1.5625473E+001, 1.4181937E+001, 3.1720052E+002, 2.4061480E+000, 4.9966667E-002
 1.6858482E+001, 1.4179314E+001, 3.2636237E+002, 3.8948499E+000, 4.9963875E-002
 1.8025250E+001, 1.4176694E+001, 3.3319740E+002, 5.9719738E+000, 4.9961007E-002
 1.9255045E+001, 1.4173943E+001, 3.4048789E+002, 8.7563791E+000, 4.9957913E-002
 2.0420407E+001, 1.4171016E+001, 3.4738308E+002, 1.2446179E+001, 4.9954523E-002
 2.1646156E+001, 1.4167832E+001, 3.5404464E+002, 1.6892551E+001, 4.9950704E-002
 2.2843079E+001, 1.4164290E+001, 3.6100073E+002, 2.2675083E+001, 4.9946336E-002
 2.4051396E+001, 1.4160365E+001, 3.6952448E+002, 2.8611589E+001, 4.9941178E-002
 2.5224041E+001, 1.4156080E+001, 3.7431872E+002, 3.5144493E+001, 4.9935187E-002
 2.6424102E+001, 1.4151375E+001, 3.7559804E+002, 4.1153522E+001, 4.9928880E-002
 2.7600779E+001, 1.4146215E+001, 3.8301949E+002, 4.7916824E+001, 4.9922086E-002
 2.8816262E+001, 1.4140586E+001, 3.8642291E+002, 5.3724699E+001, 4.9914352E-002
 3.0002197E+001, 1.4134554E+001, 3.9083800E+002, 5.8824256E+001, 4.9906342E-002
 3.1225578E+001, 1.4128184E+001, 3.8945439E+002, 6.1369553E+001, 4.9898048E-002
 3.2410152E+001, 1.4121651E+001, 3.9772302E+002, 6.4620018E+001, 4.9889865E-002
 3.3608237E+001, 1.4114856E+001, 3.9984833E+002, 6.8707212E+001, 4.9880434E-002
 3.4804949E+001, 1.4107656E+001, 4.0057991E+002, 7.3708102E+001, 4.9871332E-002
 3.6032413E+001, 1.4099991E+001, 4.0741385E+002, 7.7653668E+001, 4.9861330E-002
 3.7222879E+001, 1.4092174E+001, 4.0713314E+002, 7.7713512E+001, 4.9851040E-002
 3.8423275E+001, 1.4084334E+001, 4.1188398E+002, 8.0998914E+001, 4.9840529E-002
 3.9632071E+001, 1.4076029E+001, 4.1580275E+002, 8.6145212E+001, 4.9828874E-002
 4.0828336E+001, 1.4067339E+001, 4.1977878E+002, 9.0326414E+001, 4.9816446E-002
 4.2003094E+001, 1.4058348E+001, 4.1849190E+002, 9.6315097E+001, 4.9803350E-002
 4.3204675E+001, 1.4048941E+001, 4.2917692E+002, 1.0038321E+002, 4.9789914E-002
 4.4430277E+001, 1.4038979E+001, 4.3416143E+002, 1.0374303E+002, 4.9772116E-002
 4.5623874E+001, 1.4028941E+001, 4.2629265E+002, 1.0370440E+002, 4.9754966E-002
 4.6814800E+001, 1.4018821E+001, 4.2950788E+002, 1.0848715E+002, 4.9739322E-002
 4.8032434E+001, 1.4008252E+001, 4.2656579E+002, 1.1148946E+002, 4.9723147E-002
 4.9220248E+001, 1.3997371E+001, 4.2457579E+002, 1.1614765E+002, 4.9708119E-002
 5.0400047E+001, 1.3986517E+001, 4.2191186E+002, 1.1732590E+002, 4.9694594E-002
 5.1633134E+001, 1.3975130E+001, 4.2755308E+002, 1.2030362E+002, 4.9680644E-002
 5.2818830E+001, 1.3963670E+001, 4.2882684E+002, 1.1904470E+002, 4.9665668E-002
 5.4030174E+001, 1.3952755E+001, 4.2337916E+002, 1.1295855E+002, 4.9651122E-002
 5.5209561E+001, 1.3942070E+001, 4.2650637E+002, 1.1313170E+002, 4.9637481E-002
 5.6439654E+001, 1.3931478E+001, 4.2278173E+002, 1.0751925E+002, 4.9623754E-002
 5.7614677E+001, 1.3921456E+001, 4.1990448E+002, 1.0064266E+002, 4.9611111E-002
 5.8835989E+001, 1.3911775E+001, 4.1916674E+002, 1.0096740E+002, 4.9599342E-002
 6.0017349E+001, 1.3901689E+001, 4.2449101E+002, 1.1054900E+002, 4.9587653E-002
 6.1218524E+001, 1.3890874E+001, 4.2657694E+002, 1.1871443E+002, 4.9575030E-002
 6.2400347E+001, 1.3879306E+001, 4.3110415E+002, 1.2662948E+002, 4.9561492E-002
 6.3620789E+001, 1.3867394E+001, 4.3191542E+002, 1.2811003E+002, 4.9547074E-002
 6.4811489E+001, 1.3855148E+001, 4.4070140E+002, 1.3411794E+002, 4.9531205E-002
 6.6019828E+001, 1.3842315E+001, 4.4788829E+002, 1.3876040E+002, 4.9512968E-002
 6.7225818E+001, 1.3829695E+001, 4.4370571E+002, 1.3241117E+002, 4.9492675E-002
 6.8416137E+001, 1.3817785E+001, 4.3719665E+002, 1.2580979E+002, 4.9474383E-002
 6.9603581E+001, 1.3806099E+001, 4.3604910E+002, 1.2859454E+002, 4.9458314E-002
 7.0809544E+001, 1.3793857E+001, 4.4063589E+002, 1.3503458E+002, 4.9442634E-002
 7.2000454E+001, 1.3781225E+001, 4.5425383E+002, 1.3876535E+002, 4.9424435E-002
 7.3204761E+001, 1.3768179E+001, 4.5148245E+002, 1.4431546E+002, 4.9403761E-002
 7.4428111E+001, 1.3754475E+001, 4.5093280E+002, 1.4757269E+002, 4.9382671E-002
 7.5603592E+001, 1.3740923E+001, 4.5034328E+002, 1.4827776E+002, 4.9363081E-002
 7.6822611E+001, 1.3727471E+001, 4.5074595E+002, 1.4699341E+002, 4.9343671E-002
 7.8003041E+001, 1.3713758E+001, 4.4739889E+002, 1.5143178E+002, 4.9324435E-002
 7.9217011E+001, 1.3699993E+001, 4.5295079E+002, 1.5010857E+002, 4.9306339E-002
 8.0409050E+001, 1.3686439E+001, 4.6607414E+002, 1.4481306E+002, 4.9286072E-002
 8.1627931E+001, 1.3673220E+001, 4.7118187E+002, 1.4145293E+002, 4.9261899E-002
 8.2810848E+001, 1.3660216E+001, 4.7388591E+002, 1.4304955E+002, 4.9235519E-002
 8.4027611E+001, 1.3646916E+001, 4.7349366E+002, 1.4696415E+002, 4.9208519E-002
 8.5224919E+001, 1.3633225E+001, 4.7030225E+002, 1.5069913E+002, 4.9182395E-002
 8.6422889E+001, 1.3619134E+001, 4.6668036E+002, 1.5669155E+002, 4.9157601E-002
 8.7607559E+001, 1.3605037E+001, 4.6722959E+002, 1.5575007E+002, 4.9135341E-002
 8.8802403E+001, 1.3590922E+001, 4.7468019E+002, 1.5725702E+002, 4.9113269E-002
 9.0011967E+001, 1.3576478E+001, 4.8384836E+002, 1.5828298E+002, 4.9087891E-002
 9.1200802E+001, 1.3562118E+001, 4.7512219E+002, 1.5701155E+002, 4.9061184E-002
 9.2416794E+001, 1.3547993E+001, 4.6476637E+002, 1.5377955E+002, 4.9037218E-002
 9.3605750E+001, 1.3534109E+001, 4.6398074E+002, 1.5257731E+002, 4.9016797E-002
 9.4803192E+001, 1.3520284E+001, 4.6566113E+002, 1.5187969E+002, 4.8997471E-002
 9.6003759E+001, 1.3506584E+001, 4.6184261E+002, 1.4959858E+002, 4.8978611E-002
 9.7214303E+001, 1.3493033E+001, 4.6103775E+002, 1.4785065E+002, 4.8960513E-002
 9.8402309E+001, 1.3479550E+001, 4.6147197E+002, 1.4747115E+002, 4.8943231E-002
 9.9626871E+001, 1.3466084E+001, 4.8565846E+002, 1.4719346E+002, 4.8924868E-002
 1.0080384E+002, 1.3452580E+001, 4.8027480E+002, 1.4657238E+002, 4.8902250E-002
 1.0200257E+002, 1.3439420E+001, 4.8163600E+002, 1.4224887E+002, 4.8879276E-002
 1.0321260E+002, 1.3426566E+001, 4.8120171E+002, 1.3906179E+002, 4.8856046E-002
 1.0442089E+002, 1.3413704E+001, 4.7973336E+002, 1.3943642E+002, 4.8833111E-002
 1.0561694E+002, 1.3400867E+001, 4.8119930E+002, 1.4051852E+002, 4.8810643E-002
 1.0681038E+002, 1.3388117E+001, 4.8870468E+002, 1.4020372E+002, 4.8788043E-002
 1.0800008E+002, 1.3375342E+001, 4.8780515E+002, 1.3976681E+002, 4.8764444E-002
 1.0920020E+002, 1.3362650E+001, 4.8239525E+002, 1.3949975E+002, 4.8741057E-002
 1.1040714E+002, 1.3349741E+001, 4.9199594E+002, 1.4120737E+002, 4.8718218E-002
 1.1161769E+002, 1.3336679E+001, 4.8183539E+002, 1.4270542E+002, 4.8694398E-002
 1.1282231E+002, 1.3323471E+001, 4.7857345E+002, 1.4444404E+002, 4.8672379E-002
 1.1401450E+002, 1.3310255E+001, 4.7644131E+002, 1.4568336E+002, 4.8652100E-002
 1.1521871E+002, 1.3296927E+001, 4.7596213E+002, 1.4746700E+002, 4.8632999E-002
 1.1640554E+002, 1.3283467E+001, 4.8365754E+002, 1.4909400E+002, 4.8614373E-002
 1.1761354E+002, 1.3269839E+001, 4.8428118E+002, 1.4987746E+002, 4.8594771E-002
 1.1881184E+002, 1.3256304E+001, 4.7917483E+002, 1.4582062E+002, 4.8574761E-002
 1.2002550E+002, 1.3243191E+001, 4.8099044E+002, 1.4103223E+002, 4.8555243E-002
 1.2120095E+002, 1.3230566E+001, 4.8599969E+002, 1.3654598E+002, 4.8536123E-002
 1.2240031E+002, 1.3218417E+001, 4.8751421E+002, 1.3276057E+002, 4.8516651E-002
 1.2362054E+002, 1.3206280E+001, 4.8398752E+002, 1.3075311E+002, 4.8496401E-002
 1.2480637E+002, 1.3194130E+001, 4.8695311E+002, 1.3327658E+002, 4.8476453E-002
 1.2600803E+002, 1.3181918E+001, 4.8331657E+002, 1.3366993E+002, 4.8456532E-002
 1.2721394E+002, 1.3169505E+001, 4.8026239E+002, 1.3679181E+002, 4.8437106E-002
 1.2841653E+002, 1.3156885E+001, 4.7388909E+002, 1.3759722E+002, 4.8418568E-002
 1.2962251E+002, 1.3144300E+001, 4.7693547E+002, 1.3672005E+002, 4.8401339E-002
 1.3082815E+002, 1.3131801E+001, 4.7869436E+002, 1.3577045E+002, 4.8384522E-002
 1.3200117E+002, 1.3119350E+001, 4.8679891E+002, 1.3759515E+002, 4.8367676E-002
 1.3320401E+002, 1.3106933E+001, 4.8640852E+002, 1.3805383E+002, 4.8350034E-002
 1.3441513E+002, 1.3094204E+001, 4.8358142E+002, 1.3990500E+002, 4.8331458E-002
 1.3561447E+002, 1.3081358E+001, 4.8623616E+002, 1.4089887E+002, 4.8313021E-002
 1.3682122E+002, 1.3068424E+001, 4.8419854E+002, 1.4140388E+002, 4.8294539E-002
 1.3800033E+002, 1.3055445E+001, 4.8604814E+002, 1.4420710E+002, 4.8276438E-002
 1.3920519E+002, 1.3042394E+001, 4.9294414E+002, 1.4372848E+002, 4.8258357E-002
 1.4041743E+002, 1.3029312E+001, 4.9164743E+002, 1.4111452E+002, 4.8239141E-002
 1.4161569E+002, 1.3016514E+001, 4.8970230E+002, 1.3975695E+002, 4.8219649E-002
 1.4280566E+002, 1.3003902E+001, 4.9851649E+002, 1.3917689E+002, 4.8200511E-002
 1.4402828E+002, 1.2991181E+001, 5.0220037E+002, 1.3809287E+002, 4.8180319E-002
 1.4520663E+002, 1.2978524E+001, 4.9752894E+002, 1.3986914E+002, 4.8159029E-002
 1.4640333E+002, 1.2965983E+001, 4.9217290E+002, 1.3919645E+002, 4.8138232E-002
 1.4761158E+002, 1.2953263E+001, 4.8799584E+002, 1.3943323E+002, 4.8118150E-002
 1.4880883E+002, 1.2940715E+001, 4.9198505E+002, 1.3364651E+002, 4.8099300E-002
 1.5002006E+002, 1.2928465E+001, 4.9783051E+002, 1.3187954E+002, 4.8080613E-002
 1.5121100E+002, 1.2916514E+001, 5.0284388E+002, 1.3032676E+002, 4.8061426E-002
 1.5242086E+002, 1.2904620E+001, 5.0070179E+002, 1.3104739E+002, 4.8041397E-002
 1.5363243E+002, 1.2892556E+001, 4.9659586E+002, 1.3128984E+002, 4.8020881E-002
 1.5482406E+002, 1.2880495E+001, 4.9342087E+002, 1.3278228E+002, 4.8000996E-002
 1.5600171E+002, 1.2868487E+001, 4.8867861E+002, 1.3405874E+002, 4.7982094E-002
 1.5722573E+002, 1.2856302E+001, 4.9230203E+002, 1.3301934E+002, 4.7963923E-002
 1.5840143E+002, 1.2844122E+001, 4.9121721E+002, 1.3340206E+002, 4.7946181E-002
 1.5960265E+002, 1.2832048E+001, 4.9796026E+002, 1.3415905E+002, 4.7928743E-002
 1.6082629E+002, 1.2819692E+001, 4.8808156E+002, 1.3423913E+002, 4.7910738E-002
 1.6202679E+002, 1.2807291E+001, 4.8763948E+002, 1.3192487E+002, 4.7893033E-002
 1.6320404E+002, 1.2795414E+001, 4.9240082E+002, 1.3007417E+002, 4.7876442E-002
 1.6442697E+002, 1.2783661E+001, 4.9698995E+002, 1.2835104E+002, 4.7859698E-002
 1.6560361E+002, 1.2771988E+001, 4.9729090E+002, 1.2832435E+002, 4.7842462E-002
 1.6681278E+002, 1.2760310E+001, 5.0156459E+002, 1.2787726E+002, 4.7824884E-002
 1.6800983E+002, 1.2748584E+001, 5.0481368E+002, 1.2813516E+002, 4.7806595E-002
 1.6922337E+002, 1.2736835E+001, 5.0826659E+002, 1.2751277E+002, 4.7787658E-002
 1.7040211E+002, 1.2725232E+001, 4.9267702E+002, 1.2603440E+002, 4.7768133E-002
 1.7160588E+002, 1.2713840E+001, 4.9110855E+002, 1.2446559E+002, 4.7749511E-002
 1.7280847E+002, 1.2702498E+001, 4.8821017E+002, 1.2301329E+002, 4.7731960E-002
 1.7400327E+002, 1.2691314E+001, 4.9091369E+002, 1.2196241E+002, 4.7715267E-002
 1.7522311E+002, 1.2680172E+001, 5.0451664E+002, 1.2104736E+002, 4.7698953E-002
 1.7641518E+002, 1.2668986E+001, 4.9383859E+002, 1.2152055E+002, 4.7681873E-002
 1.7762416E+002, 1.2657871E+001, 5.0362684E+002, 1.2013106E+002, 4.7664732E-002
 1.7881153E+002, 1.2646736E+001, 5.0405182E+002, 1.2128539E+002, 4.7647284E-002
 1.8001083E+002, 1.2635670E+001, 5.1010031E+002, 1.2222011E+002, 4.7629444E-002
 1.8120130E+002, 1.2624569E+001, 5.1039193E+002, 1.2211333E+002, 4.7610948E-002
 1.8242835E+002, 1.2613247E+001, 5.1085890E+002, 1.2299864E+002, 4.7591514E-002
 1.8361024E+002, 1.2601945E+001, 5.0017477E+002, 1.2323839E+002, 4.7571869E-002
 1.8482158E+002, 1.2590735E+001, 5.0603755E+002, 1.2303309E+002, 4.7552939E-002
 1.8600911E+002, 1.2579469E+001, 5.0316930E+002, 1.2305582E+002, 4.7534335E-002
 1.8722593E+002, 1.2568143E+001, 4.9911228E+002, 1.2326246E+002, 4.7515949E-002
 1.8840399E+002, 1.2556892E+001, 5.0156094E+002, 1.2382473E+002, 4.7498147E-002
 1.8962052E+002, 1.2545664E+001, 4.9716366E+002, 1.2330616E+002, 4.7480850E-002
 1.9082507E+002, 1.2534290E+001, 4.9542200E+002, 1.2347635E+002, 4.7463673E-002
 1.9202718E+002, 1.2522955E+001, 4.9615139E+002, 1.2302718E+002, 4.7447092E-002
 1.9322691E+002, 1.2511659E+001, 5.0013584E+002, 1.2397912E+002, 4.7430941E-002
 1.9442079E+002, 1.2500457E+001, 4.9320691E+002, 1.2290708E+002, 4.7414885E-002
 1.9560591E+002, 1.2489330E+001, 4.8849462E+002, 1.2169252E+002, 4.7399107E-002
 1.9682271E+002, 1.2478106E+001, 4.8921156E+002, 1.2288831E+002, 4.7383790E-002
 1.9802950E+002, 1.2466825E+001, 4.9176133E+002, 1.2198971E+002, 4.7368878E-002
 1.9922888E+002, 1.2455681E+001, 4.8910664E+002, 1.2007166E+002, 4.7354310E-002
 2.0040529E+002, 1.2444818E+001, 4.8542869E+002, 1.1973413E+002, 4.7340058E-002
 2.0160787E+002, 1.2434005E+001, 4.8533054E+002, 1.1865271E+002, 4.7326104E-002
 2.0281682E+002, 1.2423057E+001, 4.8788459E+002, 1.1968426E+002, 4.7312324E-002
 2.0401424E+002, 1.2412110E+001, 4.8949688E+002, 1.1909202E+002, 4.7298699E-002
 2.0520402E+002, 1.2401245E+001, 4.9184584E+002, 1.1906063E+002, 4.7285183E-002
 2.0640034E+002, 1.2390402E+001, 4.9383842E+002, 1.1973528E+002, 4.7271523E-002
