s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-2.1316282E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1316282E-020, 0.0000000E+000, 0.0000000E+000
 1.5000000E+000, 0.0000000E+000,-2.3637524E-007, 6.6516446E-003, 4.6199522E-003, 2.7798640E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5609581E-004, 1.1549347E-002, 3.4263784E-012, 1.9608650E-005
 2.4819846E+000, 9.4135184E-005, 5.7788787E-005, 2.7671730E-002, 1.5921590E-002, 2.4139863E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8723228E-002, 4.6159231E-002, 1.6351081E-008, 6.2694046E-005
 3.6031885E+000, 1.0073939E-002, 3.5942510E-004, 1.6880556E-002, 2.3656247E-002, 5.5552265E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5489915E-002, 5.6525394E-002, 8.5628395E-007, 4.6110158E-005
 4.8315229E+000, 1.4051721E-001,-3.3411615E-002,-5.0388198E-002, 2.5013525E-002, 7.4796033E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7906585E-002, 8.9210522E-002, 1.0474836E-005, 5.0671988E-005
 6.0255780E+000, 7.3535911E-001,-2.0893304E-001,-2.8737717E-001, 1.6047765E-002, 1.2917229E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5317270E-001, 2.6801389E-001, 4.9932776E-005, 8.6319370E-005
 7.2051415E+000, 1.6792825E+000,-4.8966687E-001,-1.0072099E+000, 7.9054330E-004, 2.0507873E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0478926E-001, 2.0370422E-001, 1.1109024E-004, 1.4501358E-004
 8.4077997E+000, 2.7049209E+000,-7.9580706E-001,-1.7196381E+000,-1.5250020E-002, 2.9947186E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0665550E-001, 2.0417292E-001, 1.8594703E-004, 2.1822639E-004
 9.6112556E+000, 3.4929957E+000,-1.0078385E+000,-2.4150683E+000,-3.6452915E-002, 3.7689028E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4568713E-002, 7.1324994E-002, 2.4072077E-004, 2.7180659E-004
 1.0810693E+001, 3.4761407E+000,-1.0177068E+000,-2.4188501E+000,-8.3591040E-002, 4.2141654E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2467631E-002,-1.8655468E-003, 2.4041858E-004, 2.7046976E-004
 1.2013168E+001, 3.7756712E+000,-1.0910320E+000,-2.6568078E+000,-1.0896675E-001, 4.4759243E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4679204E-002,-3.6376067E-002, 2.6217151E-004, 2.9126803E-004
 1.3212598E+001, 3.8427224E+000,-1.1103383E+000,-2.6519289E+000,-1.0810051E-001, 4.7159744E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2377785E-002, 1.9514447E-002, 2.6639461E-004, 2.9478061E-004
 1.4403005E+001, 3.9672340E+000,-1.1451598E+000,-2.6623167E+000,-1.4949155E-001, 4.9675446E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1647223E-001, 5.9941430E-002, 2.7758491E-004, 3.0543309E-004
 1.5600595E+001, 4.0446986E+000,-1.1775344E+000,-2.7777791E+000,-1.5043824E-001, 5.0722281E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7180222E-002,-1.0330881E-002, 2.8075799E-004, 3.0817954E-004
 1.6809732E+001, 4.0577313E+000,-1.1736380E+000,-2.9162526E+000,-1.5897376E-001, 5.2171548E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7764391E-002,-1.3896151E-001, 2.7969017E-004, 3.0674523E-004
 1.8005629E+001, 4.1003733E+000,-1.1909014E+000,-2.7723880E+000,-1.8358368E-001, 4.9947796E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7719622E-002, 3.4480465E-003, 2.8500379E-004, 3.1174615E-004
 1.9206795E+001, 4.0963361E+000,-1.1841602E+000,-2.8600866E+000,-1.3321387E-001, 6.1228322E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0674717E-002,-1.9896221E-002, 2.8441362E-004, 3.1088293E-004
