Iteration,dC_S_600,K_S_20,K_C,dK_S_600,RHO_C,dK_S_300,C_S_20,C_C,dC_S_300,Objective,Best Objective,Fevals
1,0.994,0.108,0.225,0.076,159.215,0.004,1.670,1.297,0.777,1.049020,1.049020,120
2,1.000,0.080,0.412,0.000,100.000,0.000,2.000,3.000,1.000,1.128874,1.049020,10
3,1.000,0.080,0.261,0.109,249.022,0.000,2.000,3.000,1.000,0.764420,0.764420,10
4,1.000,0.080,0.312,0.000,240.840,0.000,2.000,3.000,1.000,0.756161,0.756161,10
5,1.000,0.080,0.295,0.000,253.108,0.000,2.000,3.000,1.000,0.738319,0.738319,10
6,1.000,0.080,0.271,0.000,267.258,0.000,2.000,3.000,1.000,0.793039,0.738319,10
7,1.000,0.080,0.138,0.500,168.779,0.000,1.445,3.000,1.000,1.281603,0.738319,10
8,1.000,0.080,0.271,0.000,238.051,0.000,2.000,3.000,1.000,0.892736,0.738319,10
9,1.000,0.400,0.100,0.144,100.000,0.000,1.391,3.000,1.000,0.874997,0.738319,10
10,1.000,0.080,0.359,0.000,202.606,0.000,2.000,3.000,1.000,0.874873,0.738319,10
