s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 3.0000000E+000, 2.1001423E+001, 9.8750001E-001, 8.7614249E-014, 3.5045700E-009, 4.4163087E-001
 6.0000000E+000, 2.2001423E+001, 9.8750001E-001, 1.0235151E-013, 4.0940606E-009, 4.4163087E-001
 9.0000000E+000, 2.3001423E+001, 9.8750001E-001, 1.1944220E-013, 4.7776880E-009, 4.4163090E-001
 1.2000000E+001, 2.4001423E+001, 9.8750001E-001, 1.3924190E-013, 5.5696763E-009, 4.4163087E-001
 1.5000000E+001, 2.5001423E+001, 9.8750001E-001, 1.6215683E-013, 6.4862737E-009, 4.4163087E-001
 1.8000000E+001, 2.6001423E+001, 9.8750001E-001, 1.8865061E-013, 7.5460251E-009, 4.4163087E-001
 2.1000000E+001, 2.7001423E+001, 9.8750001E-001, 2.1925184E-013, 8.7700736E-009, 4.4163090E-001
 2.4000000E+001, 2.8001423E+001, 9.8750001E-001, 2.5456265E-013, 1.0182506E-008, 4.4163087E-001
 2.7000000E+001, 2.9001423E+001, 9.8750001E-001, 2.9526834E-013, 1.1810734E-008, 4.4163087E-001
 3.0000000E+001, 3.0001423E+001, 9.8750001E-001, 3.4214802E-013, 1.3685921E-008, 4.4163087E-001
 3.3000000E+001, 3.1001423E+001, 9.8750001E-001, 3.9608678E-013, 1.5843472E-008, 4.4163087E-001
 3.6000000E+001, 3.2001423E+001, 9.8750001E-001, 4.5808913E-013, 1.8323567E-008, 4.4163087E-001
 3.9000000E+001, 3.3001423E+001, 9.8750001E-001, 5.2929406E-013, 2.1171763E-008, 4.4163087E-001
 4.2000000E+001, 3.4001423E+001, 9.8750001E-001, 6.1099189E-013, 2.4439677E-008, 4.4163087E-001
 4.5000000E+001, 3.5001423E+001, 9.8750001E-001, 7.0464327E-013, 2.8185733E-008, 4.4163087E-001
 4.8000000E+001, 3.6001423E+001, 9.8750001E-001, 8.1189992E-013, 3.2475999E-008, 4.4163087E-001
 5.1000000E+001, 3.7001423E+001, 9.8750001E-001, 9.3462813E-013, 3.7385128E-008, 4.4163087E-001
 5.4000000E+001, 3.8001423E+001, 9.8750001E-001, 1.0749352E-012, 4.2997407E-008, 4.4163090E-001
 5.7000000E+001, 3.9001423E+001, 9.8750001E-001, 1.2351977E-012, 4.9407909E-008, 4.4163087E-001
 6.0000000E+001, 4.0001423E+001, 9.8750001E-001, 1.4180946E-012, 5.6723788E-008, 4.4163090E-001
 6.3000000E+001, 4.1001423E+001, 9.8750001E-001, 1.6266427E-012, 6.5065713E-008, 4.4163087E-001
 6.6000000E+001, 4.2001423E+001, 9.8750001E-001, 1.8642364E-012, 7.4569456E-008, 4.4163087E-001
 6.9000000E+001, 4.3001423E+001, 9.8750001E-001, 2.1346919E-012, 8.5387683E-008, 4.4163087E-001
 7.2000000E+001, 4.4001423E+001, 9.8750001E-001, 2.4422966E-012, 9.7691874E-008, 4.4163087E-001
 7.5000000E+001, 4.5001423E+001, 9.8750001E-001, 2.7918631E-012, 1.1167453E-007, 4.4163090E-001
 7.8000000E+001, 4.6001423E+001, 9.8750001E-001, 3.1887886E-012, 1.2755156E-007, 4.4163087E-001
 8.1000000E+001, 4.7001423E+001, 9.8750001E-001, 3.6391229E-012, 1.4556493E-007, 4.4163087E-001
 8.4000000E+001, 4.8001423E+001, 9.8750001E-001, 4.1496398E-012, 1.6598560E-007, 4.4163087E-001
