s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 1.2000000E+001, 2.1000349E+001, 9.9999315E-001, 6.1164064E-007, 6.9575895E-016, 1.2150512E-001
 2.4000000E+001, 2.2000349E+001, 9.9998528E-001, 7.0236524E-007, 8.5732170E-016, 1.2170767E-001
 3.6000000E+001, 2.3000349E+001, 9.9997622E-001, 8.0576592E-007, 1.0549123E-015, 1.2193847E-001
 4.8000000E+001, 2.4000349E+001, 9.9996591E-001, 9.2349831E-007, 1.2962319E-015, 1.2220129E-001
 6.0000000E+001, 2.5000349E+001, 9.9995399E-001, 1.0574172E-006, 1.5905557E-015, 1.2250015E-001
 7.2000000E+001, 2.6000347E+001, 9.9994045E-001, 1.2095981E-006, 1.9490408E-015, 1.2283976E-001
 8.4000000E+001, 2.7000347E+001, 9.9992490E-001, 1.3823604E-006, 2.3850902E-015, 1.2322528E-001
 9.6000000E+001, 2.8000347E+001, 9.9990714E-001, 1.5782930E-006, 2.9147835E-015, 1.2366244E-001
 1.0800000E+002, 2.9000347E+001, 9.9988693E-001, 1.8002803E-006, 3.5573885E-015, 1.2415767E-001
 1.2000000E+002, 3.0000347E+001, 9.9986380E-001, 2.0515326E-006, 4.3359617E-015, 1.2471815E-001
 1.3200000E+002, 3.1000347E+001, 9.9983752E-001, 2.3356170E-006, 5.2780605E-015, 1.2535179E-001
 1.4400000E+002, 3.2000347E+001, 9.9980760E-001, 2.6564887E-006, 6.4165804E-015, 1.2606741E-001
 1.5600000E+002, 3.3000347E+001, 9.9977362E-001, 3.0185283E-006, 7.7907405E-015, 1.2687476E-001
 1.6800000E+002, 3.4000347E+001, 9.9973500E-001, 3.4265759E-006, 9.4472422E-015, 1.2778458E-001
 1.8000000E+002, 3.5000343E+001, 9.9969119E-001, 3.8859689E-006, 1.1441632E-014, 1.2880880E-001
 1.9200000E+002, 3.6000343E+001, 9.9964148E-001, 4.4025792E-006, 1.3839894E-014, 1.2996039E-001
 2.0400000E+002, 3.7000343E+001, 9.9958527E-001, 4.9828532E-006, 1.6720320E-014, 1.3125381E-001
 2.1600000E+002, 3.8000343E+001, 9.9952161E-001, 5.6338440E-006, 2.0175700E-014, 1.3270466E-001
 2.2800000E+002, 3.9000343E+001, 9.9944973E-001, 6.3632497E-006, 2.4315875E-014, 1.3433002E-001
 2.4000000E+002, 4.0000340E+001, 9.9936855E-001, 7.1794425E-006, 2.9270724E-014, 1.3614853E-001
 2.5200000E+002, 4.1000340E+001, 9.9927700E-001, 8.0914915E-006, 3.5193646E-014, 1.3818035E-001
 2.6400000E+002, 4.2000340E+001, 9.9917394E-001, 9.1091833E-006, 4.2265613E-014, 1.4044715E-001
 2.7600000E+002, 4.3000336E+001, 9.9905789E-001, 1.0243022E-005, 5.0699886E-014, 1.4297225E-001
 2.8800000E+002, 4.4000336E+001, 9.9892753E-001, 1.1504226E-005, 6.0747502E-014, 1.4578053E-001
 3.0000000E+002, 4.5000332E+001, 9.9878126E-001, 1.2904693E-005, 7.2703664E-014, 1.4889841E-001
 3.1200000E+002, 4.6000332E+001, 9.9861723E-001, 1.4456952E-005, 8.6915087E-014, 1.5235351E-001
 3.2400000E+002, 4.7000328E+001, 9.9843359E-001, 1.6174079E-005, 1.0378859E-013, 1.5617484E-001
 3.3600000E+002, 4.8000328E+001, 9.9822831E-001, 1.8069573E-005, 1.2380102E-013, 1.6039222E-001
 3.4800000E+002, 4.9000324E+001, 9.9799913E-001, 2.0157191E-005, 1.4751065E-013, 1.6503596E-001
 3.6000000E+002, 5.0000320E+001, 9.9774373E-001, 2.2450728E-005, 1.7557050E-013, 1.7013648E-001
 3.7200000E+002, 5.1000317E+001, 9.9745941E-001, 2.4963720E-005, 2.0874354E-013, 1.7572354E-001
