s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 3.0000000E+001, 2.1000139E+001, 9.9998653E-001, 4.8045308E-007, 0.0000000E+000, 4.8421782E-002
 6.0000000E+001, 2.2000139E+001, 9.9997109E-001, 5.5153231E-007, 0.0000000E+000, 4.8580453E-002
 9.0000000E+001, 2.3000139E+001, 9.9995333E-001, 6.3248245E-007, 0.0000000E+000, 4.8761167E-002
 1.2000000E+002, 2.4000139E+001, 9.9993300E-001, 7.2457368E-007, 0.0000000E+000, 4.8966698E-002
 1.5000000E+002, 2.5000139E+001, 9.9990976E-001, 8.2922338E-007, 0.0000000E+000, 4.9200241E-002
 1.8000000E+002, 2.6000139E+001, 9.9988312E-001, 9.4801004E-007, 0.0000000E+000, 4.9465291E-002
 2.1000000E+002, 2.7000139E+001, 9.9985272E-001, 1.0826883E-006, 0.0000000E+000, 4.9765795E-002
 2.4000000E+002, 2.8000139E+001, 9.9981797E-001, 1.2352039E-006, 0.0000000E+000, 5.0106067E-002
 2.7000000E+002, 2.9000139E+001, 9.9977839E-001, 1.4077098E-006, 0.0000000E+000, 5.0490871E-002
 3.0000000E+002, 3.0000139E+001, 9.9973327E-001, 1.6025817E-006, 0.0000000E+000, 5.0925508E-002
 3.3000000E+002, 3.1000137E+001, 9.9968201E-001, 1.8224340E-006, 0.0000000E+000, 5.1415820E-002
 3.6000000E+002, 3.2000137E+001, 9.9962366E-001, 2.0701339E-006, 0.0000000E+000, 5.1968172E-002
 3.9000000E+002, 3.3000137E+001, 9.9955750E-001, 2.3488151E-006, 0.0000000E+000, 5.2589506E-002
 4.2000000E+002, 3.4000137E+001, 9.9948239E-001, 2.6618884E-006, 0.0000000E+000, 5.3287424E-002
 4.5000000E+002, 3.5000137E+001, 9.9939740E-001, 3.0130495E-006, 0.0000000E+000, 5.4070130E-002
 4.8000000E+002, 3.6000137E+001, 9.9930120E-001, 3.4062821E-006, 0.0000000E+000, 5.4946482E-002
