s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 6.0000000E+000, 2.1000702E+001, 9.9999756E-001, 4.3689980E-007, 0.0000000E+000, 2.3648140E-001
 1.2000000E+001, 2.2000702E+001, 9.9999475E-001, 5.0176175E-007, 0.0000000E+000, 2.3662616E-001
 1.8000000E+001, 2.3000702E+001, 9.9999154E-001, 5.7570463E-007, 0.0000000E+000, 2.3679122E-001
 2.4000000E+001, 2.4000702E+001, 9.9998778E-001, 6.5992026E-007, 0.0000000E+000, 2.3697925E-001
 3.0000000E+001, 2.5000702E+001, 9.9998355E-001, 7.5574559E-007, 0.0000000E+000, 2.3719312E-001
 3.6000000E+001, 2.6000702E+001, 9.9997872E-001, 8.6467912E-007, 0.0000000E+000, 2.3743623E-001
 4.2000000E+001, 2.7000702E+001, 9.9997318E-001, 9.8839814E-007, 0.0000000E+000, 2.3771234E-001
 4.8000000E+001, 2.8000700E+001, 9.9996680E-001, 1.1287785E-006, 0.0000000E+000, 2.3802558E-001
 5.4000000E+001, 2.9000700E+001, 9.9995959E-001, 1.2879157E-006, 0.0000000E+000, 2.3838061E-001
 6.0000000E+001, 3.0000700E+001, 9.9995130E-001, 1.4681473E-006, 0.0000000E+000, 2.3878270E-001
 6.6000000E+001, 3.1000700E+001, 9.9994189E-001, 1.6720790E-006, 0.0000000E+000, 2.3923762E-001
 7.2000000E+001, 3.2000698E+001, 9.9993122E-001, 1.9026105E-006, 0.0000000E+000, 2.3975183E-001
 7.8000000E+001, 3.3000698E+001, 9.9991900E-001, 2.1629655E-006, 0.0000000E+000, 2.4033248E-001
 8.4000000E+001, 3.4000698E+001, 9.9990517E-001, 2.4567232E-006, 0.0000000E+000, 2.4098754E-001
 9.0000000E+001, 3.5000698E+001, 9.9988943E-001, 2.7878505E-006, 0.0000000E+000, 2.4172588E-001
 9.6000000E+001, 3.6000698E+001, 9.9987161E-001, 3.1607397E-006, 0.0000000E+000, 2.4255721E-001
 1.0200000E+002, 3.7000698E+001, 9.9985141E-001, 3.5802443E-006, 0.0000000E+000, 2.4349244E-001
 1.0800000E+002, 3.8000698E+001, 9.9982858E-001, 4.0517202E-006, 0.0000000E+000, 2.4454334E-001
 1.1400000E+002, 3.9000698E+001, 9.9980271E-001, 4.5810662E-006, 0.0000000E+000, 2.4572314E-001
 1.2000000E+002, 4.0000694E+001, 9.9977344E-001, 5.1747656E-006, 0.0000000E+000, 2.4704622E-001
 1.2600000E+002, 4.1000694E+001, 9.9974042E-001, 5.8399328E-006, 0.0000000E+000, 2.4852836E-001
 1.3200000E+002, 4.2000694E+001, 9.9970323E-001, 6.5843510E-006, 0.0000000E+000, 2.5018689E-001
 1.3800000E+002, 4.3000694E+001, 9.9966127E-001, 7.4165196E-006, 0.0000000E+000, 2.5204068E-001
 1.4400000E+002, 4.4000690E+001, 9.9961400E-001, 8.3456916E-006, 0.0000000E+000, 2.5411031E-001
 1.5000000E+002, 4.5000690E+001, 9.9956089E-001, 9.3819108E-006, 0.0000000E+000, 2.5641805E-001
 1.5600000E+002, 4.6000690E+001, 9.9950117E-001, 1.0536041E-005, 0.0000000E+000, 2.5898802E-001
 1.6200000E+002, 4.7000687E+001, 9.9943417E-001, 1.1819791E-005, 0.0000000E+000, 2.6184621E-001
 1.6800000E+002, 4.8000687E+001, 9.9935907E-001, 1.3245725E-005, 0.0000000E+000, 2.6502046E-001
 1.7400000E+002, 4.9000683E+001, 9.9927491E-001, 1.4827260E-005, 1.4945019E-038, 2.6854050E-001
 1.8000000E+002, 5.0000683E+001, 9.9918073E-001, 1.6578642E-005, 2.1610277E-038, 2.7243790E-001
 1.8600000E+002, 5.1000679E+001, 9.9907559E-001, 1.8514904E-005, 3.1177117E-038, 2.7674595E-001
 1.9200000E+002, 5.2000675E+001, 9.9895817E-001, 2.0651789E-005, 4.4877889E-038, 2.8149945E-001
 1.9800000E+002, 5.3000675E+001, 9.9882728E-001, 2.3005636E-005, 6.4455318E-038, 2.8673452E-001
 2.0400000E+002, 5.4000671E+001, 9.9868160E-001, 2.5593225E-005, 9.2368500E-038, 2.9248810E-001
 2.1000000E+002, 5.5000668E+001, 9.9851966E-001, 2.8431557E-005, 1.3207985E-037, 2.9879770E-001
 2.1600000E+002, 5.6000664E+001, 9.9833983E-001, 3.1537591E-005, 1.8845404E-037, 3.0570066E-001
 2.2200000E+002, 5.7000660E+001, 9.9814057E-001, 3.4927882E-005, 2.6831142E-037, 3.1323326E-001
 2.2800000E+002, 5.8000656E+001, 9.9792010E-001, 3.8618138E-005, 3.8119408E-037, 3.2142973E-001
 2.3400000E+002, 5.9000648E+001, 9.9767649E-001, 4.2622691E-005, 5.4042414E-037, 3.3032125E-001
 2.4000000E+002, 6.0000645E+001, 9.9740791E-001, 4.6953817E-005, 7.6456297E-037, 3.3993432E-001
 2.4600000E+002, 6.1000637E+001, 9.9711233E-001, 5.1620984E-005, 1.0794185E-036, 3.5028887E-001
 2.5200000E+002, 6.2000633E+001, 9.9678773E-001, 5.6629913E-005, 1.5208019E-036, 3.6139646E-001
 2.5800000E+002, 6.3000626E+001, 9.9643207E-001, 6.1981526E-005, 2.1383043E-036, 3.7325782E-001
 2.6400000E+002, 6.4000618E+001, 9.9604321E-001, 6.7670742E-005, 3.0004640E-036, 3.8585985E-001
 2.7000000E+002, 6.5000610E+001, 9.9561930E-001, 7.3685114E-005, 4.2018169E-036, 3.9917308E-001
 2.7600000E+002, 6.6000603E+001, 9.9515831E-001, 8.0003359E-005, 5.8725044E-036, 4.1314799E-001
 2.8200000E+002, 6.7000595E+001, 9.9465865E-001, 8.6593798E-005, 8.1913352E-036, 4.2771167E-001
 2.8800000E+002, 6.8000587E+001, 9.9411869E-001, 9.3412709E-005, 1.1403513E-035, 4.4276416E-001
 2.9400000E+002, 6.9000580E+001, 9.9353725E-001, 1.0040271E-004, 1.5844654E-035, 4.5817465E-001
 3.0000000E+002, 7.0000572E+001, 9.9291360E-001, 1.0749126E-004, 2.1973248E-035, 4.7377852E-001
 3.0600000E+002, 7.1000565E+001, 9.9224728E-001, 1.1458934E-004, 3.0414487E-035, 4.8937401E-001
 3.1200000E+002, 7.2000549E+001, 9.9153864E-001, 1.2159056E-004, 4.2019280E-035, 5.0472057E-001
 3.1800000E+002, 7.3000542E+001, 9.9078858E-001, 1.2837075E-004, 5.7943641E-035, 5.1953787E-001
 3.2400000E+002, 7.4000534E+001, 9.8999882E-001, 1.3478840E-004, 7.9755197E-035, 5.3350687E-001
 3.3000000E+002, 7.5000526E+001, 9.8917210E-001, 1.4068598E-004, 1.0957594E-034, 5.4627293E-001
 3.3600000E+002, 7.6000526E+001, 9.8831195E-001, 1.4589261E-004, 1.5027312E-034, 5.5745196E-001
 3.4200000E+002, 7.7000519E+001, 9.8742306E-001, 1.5022809E-004, 2.0571411E-034, 5.6663936E-001
 3.4800000E+002, 7.8000511E+001, 9.8651129E-001, 1.5350862E-004, 2.8110611E-034, 5.7342345E-001
 3.5400000E+002, 7.9000511E+001, 9.8558342E-001, 1.5555421E-004, 3.8344803E-034, 5.7740164E-001
 3.6000000E+002, 8.0000511E+001, 9.8464739E-001, 1.5619783E-004, 5.2213085E-034, 5.7820153E-001
 3.6600000E+002, 8.1000511E+001, 9.8371214E-001, 1.5529596E-004, 7.0973350E-034, 5.7550466E-001
 3.7200000E+002, 8.2000519E+001, 9.8278719E-001, 1.5274026E-004, 9.6307646E-034, 5.6907260E-001
 3.7800000E+002, 8.3000519E+001, 9.8188269E-001, 1.4846955E-004, 1.3046141E-033, 5.5877417E-001
 3.8400000E+002, 8.4000534E+001, 9.8100907E-001, 1.4248113E-004, 1.7642717E-033, 5.4461050E-001
 3.9000000E+002, 8.5000542E+001, 9.8017633E-001, 1.3484010E-004, 2.3818651E-033, 5.2673608E-001
 3.9600000E+002, 8.6000549E+001, 9.7939408E-001, 1.2568556E-004, 3.2102817E-033, 5.0547242E-001
 4.0200000E+002, 8.7000565E+001, 9.7867078E-001, 1.1523191E-004, 4.3196593E-033, 4.8131084E-001
 4.0800000E+002, 8.8000580E+001, 9.7801346E-001, 1.0376422E-004, 5.8028606E-033, 4.5490125E-001
 4.1400000E+002, 8.9000595E+001, 9.7742707E-001, 9.1626775E-005, 7.7826395E-033, 4.2702630E-001
 4.2000000E+002, 9.0000610E+001, 9.7691458E-001, 7.9204765E-005, 1.0421005E-032, 3.9855975E-001
 4.2600000E+002, 9.1000626E+001, 9.7647649E-001, 6.6899971E-005, 1.3931437E-032, 3.7041101E-001
 4.3200000E+002, 9.2000641E+001, 9.7611094E-001, 5.5102351E-005, 1.8594803E-032, 3.4346113E-001
 4.3800000E+002, 9.3000656E+001, 9.7581369E-001, 4.4160621E-005, 2.4780047E-032, 3.1849626E-001
 4.4400000E+002, 9.4000671E+001, 9.7557878E-001, 3.4355315E-005, 3.2971080E-032, 2.9614687E-001
 4.5000000E+002, 9.5000679E+001, 9.7539884E-001, 2.5878257E-005, 4.3801617E-032, 2.7684155E-001
 4.5600000E+002, 9.6000687E+001, 9.7526550E-001, 1.8821594E-005, 5.8100331E-032, 2.6078299E-001
 4.6200000E+002, 9.7000694E+001, 9.7517020E-001, 1.3178283E-005, 7.6949159E-032, 2.4794897E-001
 4.6800000E+002, 9.8000702E+001, 9.7510475E-001, 8.8539709E-006, 1.0175867E-031, 2.3812026E-001
 4.7400000E+002, 9.9000702E+001, 9.7506171E-001, 5.6882377E-006, 1.3436512E-031, 2.3092853E-001
 4.8000000E+002, 1.0000071E+002, 9.7503459E-001, 3.4812933E-006, 1.7715543E-031, 2.2591715E-001
 4.8600000E+002, 1.0100071E+002, 9.7501844E-001, 2.0214356E-006, 2.3322788E-031, 2.2260351E-001
 4.9200000E+002, 1.0200071E+002, 9.7500926E-001, 1.1087403E-006, 3.0659829E-031, 2.2053261E-001
 4.9800000E+002, 1.0300071E+002, 9.7500437E-001, 5.7173611E-007, 4.0246425E-031, 2.1931455E-001
 5.0400000E+002, 1.0400071E+002, 9.7500193E-001, 2.7576718E-007, 5.2754348E-031, 2.1864344E-001
 5.1000000E+002, 1.0500071E+002, 9.7500080E-001, 1.2373280E-007, 6.9050621E-031, 2.1829878E-001
 5.1600000E+002, 1.0600071E+002, 9.7500032E-001, 5.1339686E-008, 9.0252698E-031, 2.1813472E-001
 5.2200000E+002, 1.0700071E+002, 9.7500008E-001, 1.9574104E-008, 1.1779884E-030, 2.1806273E-001
 5.2800000E+002, 1.0800071E+002, 9.7500002E-001, 6.8107515E-009, 1.5353761E-030, 2.1803384E-001
 5.3400000E+002, 1.0900071E+002, 9.7500002E-001, 2.1468003E-009, 1.9984179E-030, 2.1802326E-001
 5.4000000E+002, 1.1000071E+002, 9.7500002E-001, 6.0817734E-010, 2.5975284E-030, 2.1801978E-001
 5.4600000E+002, 1.1100071E+002, 9.7500002E-001, 1.5353660E-010, 3.3716420E-030, 2.1801876E-001
 5.5200000E+002, 1.1200071E+002, 9.7500002E-001, 3.4226517E-011, 4.3705324E-030, 2.1801847E-001
 5.5800000E+002, 1.1300071E+002, 9.7500002E-001, 6.6713657E-012, 5.6577472E-030, 2.1801841E-001
 5.6400000E+002, 1.1400071E+002, 9.7500002E-001, 1.1250868E-012, 7.3143140E-030, 2.1801841E-001
 5.7000000E+002, 1.1500071E+002, 9.7500002E-001, 1.6231524E-013, 9.4434130E-030, 2.1801840E-001
 5.7600000E+002, 1.1600071E+002, 9.7500002E-001, 1.9790608E-014, 1.2176266E-029, 2.1801840E-001
 5.8200000E+002, 1.1700071E+002, 9.7500002E-001, 2.0129270E-015, 1.5679543E-029, 2.1801840E-001
 5.8800000E+002, 1.1800071E+002, 9.7500002E-001, 1.6842267E-016, 2.0164672E-029, 2.1801840E-001
 5.9400000E+002, 1.1900071E+002, 9.7500002E-001, 1.1420270E-017, 2.5899518E-029, 2.1801841E-001
 6.0000000E+002, 1.2000071E+002, 9.7500002E-001, 6.1757692E-019, 3.3223032E-029, 2.1801840E-001
 6.0600000E+002, 1.2100071E+002, 9.7500002E-001, 2.6180961E-020, 4.2563569E-029, 2.1801838E-001
 6.1200000E+002, 1.2200071E+002, 9.7500002E-001, 8.5422756E-022, 5.4461832E-029, 2.1801840E-001
 6.1800000E+002, 1.2300071E+002, 9.7500002E-001, 2.1033264E-023, 6.9599473E-029, 2.1801838E-001
 6.2400000E+002, 1.2400071E+002, 9.7500002E-001, 3.8268170E-025, 8.8834831E-029, 2.1801840E-001
 6.3000000E+002, 1.2500071E+002, 9.7500002E-001, 5.0301600E-027, 1.1324740E-028, 2.1801840E-001
 6.3600000E+002, 1.2600071E+002, 9.7500002E-001, 4.6634498E-029, 1.4419323E-028, 2.1801841E-001
 6.4200000E+002, 1.2700071E+002, 9.7500002E-001, 3.0170043E-031, 1.8337374E-028, 2.1801840E-001
 6.4800000E+002, 1.2800072E+002, 9.7500002E-001, 7.0888730E-033, 2.3292115E-028, 2.1801840E-001
 6.5400000E+002, 1.2900072E+002, 9.7500002E-001, 7.3911140E-033, 2.9550451E-028, 2.1801840E-001
 6.6000000E+002, 1.3000072E+002, 9.7500002E-001, 9.3615297E-033, 3.7446097E-028, 2.1801841E-001
 6.6600000E+002, 1.3100072E+002, 9.7500002E-001, 1.1848955E-032, 4.7395821E-028, 2.1801841E-001
 6.7200000E+002, 1.3200072E+002, 9.7500002E-001, 1.4979883E-032, 5.9919532E-028, 2.1801841E-001
 6.7800000E+002, 1.3300072E+002, 9.7500002E-001, 1.8916262E-032, 7.5665055E-028, 2.1801841E-001
 6.8400000E+002, 1.3400072E+002, 9.7500002E-001, 2.3859674E-032, 9.5438698E-028, 2.1801841E-001
 6.9000000E+002, 1.3500072E+002, 9.7500002E-001, 3.0060735E-032, 1.2024295E-027, 2.1801841E-001
 6.9600000E+002, 1.3600072E+002, 9.7500002E-001, 3.7830688E-032, 1.5132276E-027, 2.1801838E-001
 7.0200000E+002, 1.3700072E+002, 9.7500002E-001, 4.7555641E-032, 1.9022256E-027, 2.1801841E-001
 7.0800000E+002, 1.3800072E+002, 9.7500002E-001, 5.9714043E-032, 2.3885618E-027, 2.1801838E-001
 7.1400000E+002, 1.3900072E+002, 9.7500002E-001, 7.4898157E-032, 2.9959265E-027, 2.1801838E-001
 7.2000000E+002, 1.4000072E+002, 9.7500002E-001, 9.3840319E-032, 3.7536128E-027, 2.1801838E-001
 7.2600000E+002, 1.4100072E+002, 9.7500002E-001, 1.1744511E-031, 4.6978050E-027, 2.1801840E-001
 7.3200000E+002, 1.4200072E+002, 9.7500002E-001, 1.4682871E-031, 5.8731488E-027, 2.1801838E-001
 7.3800000E+002, 1.4300072E+002, 9.7500002E-001, 1.8336690E-031, 7.3346762E-027, 2.1801840E-001
 7.4400000E+002, 1.4400072E+002, 9.7500002E-001, 2.2875374E-031, 9.1501502E-027, 2.1801840E-001
 7.5000000E+002, 1.4500072E+002, 9.7500002E-001, 2.8507299E-031, 1.1402920E-026, 2.1801840E-001
 7.5600000E+002, 1.4600072E+002, 9.7500002E-001, 3.5488513E-031, 1.4195406E-026, 2.1801840E-001
 7.6200000E+002, 1.4700072E+002, 9.7500002E-001, 4.4133334E-031, 1.7653334E-026, 2.1801840E-001
 7.6800000E+002, 1.4800072E+002, 9.7500002E-001, 5.4827191E-031, 2.1930879E-026, 2.1801841E-001
 7.7400000E+002, 1.4900072E+002, 9.7500002E-001, 6.8042282E-031, 2.7216915E-026, 2.1801841E-001
 7.8000000E+002, 1.5000072E+002, 9.7500002E-001, 8.4356484E-031, 3.3742595E-026, 2.1801841E-001
 7.8600000E+002, 1.5100072E+002, 9.7500002E-001, 1.0447634E-030, 4.1790535E-026, 2.1801840E-001
 7.9200000E+002, 1.5200072E+002, 9.7500002E-001, 1.2926483E-030, 5.1705937E-026, 2.1801841E-001
 7.9800000E+002, 1.5300072E+002, 9.7500002E-001, 1.5977502E-030, 6.3910010E-026, 2.1801841E-001
