#FILE:                        13WaT18 5 K min N2 16.2.2007.dsu
#FORMAT:                      NETZSCH4                        
#IDENTITY:                    13 WaT18 5 K min N2             
#DECIMAL:                     POINT                           
#SEPARATOR:                   SEMICOLON                       
#MTYPE:                       TG                              
#INSTRUMENT:                  NETZSCH STA 449C                
#PROJECT:                     vtt                             
#DATE/TIME:                   16.2.2007 7:57:49               
#CORR. FILE:                  correction 5K min N2 800 C.bsu  
#LABORATORY:                  EO                              
#OPERATOR:                    TL                              
#REMARK:                                                      
#SAMPLE:                      13 WaT18                        
#SAMPLE MASS /mg:             11.322                          
#MATERIAL:                    Empty crucibles                 
#REFERENCE:                   al2o3                           
#REFERENCE MASS /mg:          40.312                          
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                
#SAMPLE CRUCIBLE MASS /mg:    0.000                           
#REFERENCE CRUCIBLE MASS /mg: 0.000                           
#PROTECTIVE GAS:              N2                              
#PURGE GAS 1:                 air                             
#FLOW RATE 1 /(ml/min):       40                              
#PURGE GAS 2:                                                 
#FLOW RATE 2:                                                 
#DSC RANGE /æm:               5000                            
#TG RANGE /æm:                5000                            
#CORR. CODE:                  020                             
#EXO:                         +1                              
#RANGE:                       20.0/5.00(K/min)/800.0          
#SEGMENT:                     S1/2                            
Temp (c),Mass (%) 
 23.04100,100.00000
 24.04100, 99.89137
 25.04100, 99.87282
 26.04100, 99.85116
 27.04100, 99.82487
 28.04100, 99.80184
 29.04100, 99.77884
 30.04100, 99.74819
 31.04100, 99.72757
 32.04100, 99.70219
 33.04100, 99.67337
 34.04100, 99.64827
 35.04100, 99.62779
 36.04100, 99.59774
 37.04100, 99.56488
 38.04100, 99.54351
 39.04100, 99.51948
 40.04100, 99.48867
 41.04100, 99.45785
 42.04100, 99.42420
 43.04100, 99.37956
 44.04100, 99.34579
 45.04100, 99.30368
 46.04100, 99.26712
 47.04100, 99.22037
 48.04100, 99.17742
 49.04100, 99.13426
 50.04100, 99.08698
 51.04100, 99.03501
 52.04100, 98.98448
 53.04100, 98.93634
 54.04100, 98.88433
 55.04100, 98.82637
 56.04100, 98.77219
 57.04100, 98.71107
 58.04100, 98.65496
 59.04100, 98.59056
 60.04100, 98.52996
 61.04100, 98.46917
 62.04100, 98.40895
 63.04100, 98.34398
 64.04100, 98.28084
 65.04100, 98.22033
 66.04100, 98.14674
 67.04100, 98.08672
 68.04100, 98.02518
 69.04100, 97.96351
 70.04100, 97.89875
 71.04100, 97.83304
 72.04100, 97.76581
 73.04100, 97.69742
 74.04100, 97.64304
 75.04100, 97.58497
 76.04100, 97.53181
 77.04100, 97.47448
