Iteration,AW,E,EW,A,Objective,Best Objective
0,12.166,123622.656,112445.169,9.042,0.919049,0.919049
1,12.976,121466.040,112843.237,8.088,0.335327,0.335327
2,13.377,122848.172,119826.034,7.553,0.334978,0.334978
3,13.920,121164.895,115976.811,8.264,0.513827,0.334978
4,13.929,127779.113,113023.584,9.131,0.757998,0.334978
5,12.809,118571.227,101330.203,7.472,0.170742,0.170742
6,12.696,118511.003,69113.591,7.581,0.177600,0.170742
7,12.526,119561.441,71850.033,7.604,0.170574,0.170574
8,10.382,124536.554,75020.149,7.406,0.628571,0.170574
9,13.512,119833.465,56185.655,7.594,0.170807,0.170574
10,12.320,122458.211,64462.017,7.800,0.175418,0.170574
11,13.391,119932.725,65526.176,7.603,0.170793,0.170574
12,10.487,120069.576,105991.322,7.654,0.171740,0.170574
13,10.270,114320.115,106550.171,7.869,0.652898,0.170574
14,13.359,123702.489,57911.326,7.947,0.173590,0.170574
15,13.142,121022.639,79647.168,7.773,0.176617,0.170574
16,10.319,119596.851,63791.570,7.615,0.170938,0.170574
17,10.125,117032.896,54958.307,7.450,0.175078,0.170574
18,11.774,119815.028,92101.357,7.609,0.168980,0.168980
19,10.689,126372.409,56119.732,7.947,0.262843,0.168980
20,13.361,117823.513,79840.629,7.469,0.169807,0.168980
21,10.804,118461.945,116737.429,7.506,0.169663,0.168980
22,11.356,116432.515,115555.073,7.227,0.185492,0.168980
23,13.376,118576.110,107057.500,7.531,0.169156,0.168980
24,12.116,115276.127,113676.814,7.278,0.171052,0.168980
25,12.031,115292.422,119436.045,7.189,0.170520,0.168980
26,11.315,113081.321,116652.714,6.997,0.169167,0.168980
27,12.467,111717.278,114760.083,6.974,0.168403,0.168403
28,13.305,112155.295,119792.985,7.037,0.173723,0.168403
29,13.929,110059.356,105169.008,7.147,0.340130,0.168403
30,12.910,111997.072,116294.523,6.498,0.434661,0.168403
31,12.540,117911.478,53498.865,7.430,0.169054,0.168403
32,10.476,112092.258,116837.543,6.929,0.166014,0.166014
33,13.694,125567.410,62642.740,8.126,0.176350,0.166014
34,12.866,120829.869,61990.274,7.648,0.175932,0.166014
35,11.253,126635.670,114709.545,8.207,0.178587,0.166014
36,10.077,128006.053,109840.596,8.286,0.180971,0.166014
37,11.804,129217.503,90724.660,8.412,0.179267,0.166014
38,13.354,132660.557,98608.262,8.468,0.282234,0.166014
39,11.079,130319.366,119939.810,8.515,0.182631,0.166014
40,11.819,129729.351,115704.139,8.537,0.192974,0.166014
41,13.323,128794.566,103781.023,8.175,0.251098,0.166014
42,12.066,126740.481,68859.009,8.264,0.183821,0.166014
43,10.279,111822.509,71492.441,6.969,0.166775,0.166014
44,11.134,129490.609,66915.109,8.517,0.192462,0.166014
45,12.120,112223.997,50260.760,6.955,0.163981,0.163981
46,10.068,131676.102,59178.051,8.618,0.184781,0.163981
47,11.881,133039.753,55821.626,8.774,0.187141,0.163981
48,11.355,129495.753,60404.933,8.564,0.207633,0.163981
49,12.090,134964.766,61229.407,9.537,0.635585,0.163981
50,13.315,112160.821,64889.192,7.069,0.180523,0.163981
