s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 3.0000000E+000, 2.1001419E+001, 9.9999994E-001, 2.2390223E-008, 2.8306057E-016, 4.4849357E-001
 6.0000000E+000, 2.2001419E+001, 9.9999988E-001, 2.5715735E-008, 3.6846460E-016, 4.4850096E-001
 9.0000000E+000, 2.3001419E+001, 9.9999976E-001, 2.9507307E-008, 4.7878304E-016, 4.4850942E-001
 1.2000000E+001, 2.4001419E+001, 9.9999970E-001, 3.3826250E-008, 6.2103519E-016, 4.4851911E-001
 1.5000000E+001, 2.5001419E+001, 9.9999958E-001, 3.8741398E-008, 8.0414767E-016, 4.4853005E-001
 1.8000000E+001, 2.6001419E+001, 9.9999946E-001, 4.4329944E-008, 1.0394536E-015, 4.4854254E-001
 2.1000000E+001, 2.7001419E+001, 9.9999928E-001, 5.0678388E-008, 1.3413178E-015, 4.4855672E-001
 2.4000000E+001, 2.8001419E+001, 9.9999917E-001, 5.7883547E-008, 1.7279170E-015, 4.4857275E-001
 2.7000000E+001, 2.9001419E+001, 9.9999899E-001, 6.6053701E-008, 2.2222147E-015, 4.4859102E-001
 3.0000000E+001, 3.0001419E+001, 9.9999875E-001, 7.5309821E-008, 2.8531744E-015, 4.4861168E-001
 3.3000000E+001, 3.1001419E+001, 9.9999851E-001, 8.5786915E-008, 3.6572685E-015, 4.4863504E-001
 3.6000000E+001, 3.2001419E+001, 9.9999821E-001, 9.7635507E-008, 4.6803534E-015, 4.4866148E-001
 3.9000000E+001, 3.3001419E+001, 9.9999791E-001, 1.1102327E-007, 5.9799925E-015, 4.4869134E-001
 4.2000000E+001, 3.4001419E+001, 9.9999756E-001, 1.2613675E-007, 7.6283330E-015, 4.4872504E-001
 4.5000000E+001, 3.5001419E+001, 9.9999714E-001, 1.4318329E-007, 9.7156636E-015, 4.4876307E-001
 4.8000000E+001, 3.6001419E+001, 9.9999672E-001, 1.6239308E-007, 1.2354800E-014, 4.4880590E-001
 5.1000000E+001, 3.7001419E+001, 9.9999619E-001, 1.8402136E-007, 1.5686496E-014, 4.4885412E-001
 5.4000000E+001, 3.8001419E+001, 9.9999559E-001, 2.0835087E-007, 1.9886104E-014, 4.4890836E-001
 5.7000000E+001, 3.9001419E+001, 9.9999493E-001, 2.3569434E-007, 2.5171749E-014, 4.4896930E-001
 6.0000000E+001, 4.0001419E+001, 9.9999416E-001, 2.6639728E-007, 3.1814364E-014, 4.4903776E-001
 6.3000000E+001, 4.1001419E+001, 9.9999332E-001, 3.0084087E-007, 4.0150005E-014, 4.4911453E-001
 6.6000000E+001, 4.2001419E+001, 9.9999237E-001, 3.3944497E-007, 5.0594887E-014, 4.4920051E-001
 6.9000000E+001, 4.3001419E+001, 9.9999130E-001, 3.8267149E-007, 6.3663769E-014, 4.4929686E-001
 7.2000000E+001, 4.4001419E+001, 9.9999005E-001, 4.3102756E-007, 7.9992409E-014, 4.4940460E-001
 7.5000000E+001, 4.5001419E+001, 9.9998868E-001, 4.8506911E-007, 1.0036491E-013, 4.4952497E-001
 7.8000000E+001, 4.6001419E+001, 9.9998713E-001, 5.4540430E-007, 1.2574696E-013, 4.4965938E-001
 8.1000000E+001, 4.7001419E+001, 9.9998540E-001, 6.1269731E-007, 1.5732634E-013, 4.4980928E-001
 8.4000000E+001, 4.8001419E+001, 9.9998349E-001, 6.8767150E-007, 1.9656194E-013, 4.4997621E-001
 8.7000000E+001, 4.9001419E+001, 9.9998128E-001, 7.7111292E-007, 2.4524325E-013, 4.5016199E-001
 9.0000000E+001, 5.0001419E+001, 9.9997884E-001, 8.6387348E-007, 3.0556241E-013, 4.5036846E-001
 9.3000000E+001, 5.1001419E+001, 9.9997610E-001, 9.6687381E-007, 3.8020124E-013, 4.5059773E-001
 9.6000000E+001, 5.2001419E+001, 9.9997300E-001, 1.0811052E-006, 4.7243638E-013, 4.5085198E-001
 9.9000000E+001, 5.3001419E+001, 9.9996960E-001, 1.2076314E-006, 5.8626595E-013, 4.5113352E-001
 1.0200000E+002, 5.4001419E+001, 9.9996579E-001, 1.3475886E-006, 7.2656236E-013, 4.5144495E-001
 1.0500000E+002, 5.5001419E+001, 9.9996150E-001, 1.5021857E-006, 8.9925566E-013, 4.5178881E-001
 1.0800000E+002, 5.6001419E+001, 9.9995673E-001, 1.6727006E-006, 1.1115545E-012, 4.5216808E-001
 1.1100000E+002, 5.7001419E+001, 9.9995142E-001, 1.8604770E-006, 1.3722104E-012, 4.5258564E-001
 1.1400000E+002, 5.8001419E+001, 9.9994552E-001, 2.0669165E-006, 1.6918354E-012, 4.5304459E-001
 1.1700000E+002, 5.9001415E+001, 9.9993902E-001, 2.2934698E-006, 2.0832812E-012, 4.5354813E-001
