#FILE:                        13WaT18 10 K min N2 15.2.2007.dsu
#FORMAT:                      NETZSCH4                         
#IDENTITY:                    13 WaT18 10 K min N2             
#DECIMAL:                     POINT                            
#SEPARATOR:                   SEMICOLON                        
#MTYPE:                       TG                               
#INSTRUMENT:                  NETZSCH STA 449C                 
#PROJECT:                     vtt                              
#DATE/TIME:                   15.2.2007 8:12:40                
#CORR. FILE:                  correction 10K min N2 800 C.bsu  
#LABORATORY:                  EO                               
#OPERATOR:                    TL                               
#REMARK:                                                       
#SAMPLE:                      13 WaT18                         
#SAMPLE MASS /mg:             12.798                           
#MATERIAL:                    Empty crucibles                  
#REFERENCE:                   al2o3                            
#REFERENCE MASS /mg:          40.312                           
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                 
#SAMPLE CRUCIBLE MASS /mg:    0.000                            
#REFERENCE CRUCIBLE MASS /mg: 0.000                            
#PROTECTIVE GAS:              N2                               
#PURGE GAS 1:                 air                              
#FLOW RATE 1 /(ml/min):       40                               
#PURGE GAS 2:                                                  
#FLOW RATE 2:                                                  
#DSC RANGE /æm:               5000                             
#TG RANGE /æm:                5000                             
#CORR. CODE:                  020                              
#EXO:                         +1                               
#RANGE:                       20.0/10.00(K/min)/800.0          
#SEGMENT:                     S1/2                             
Temp (C),Mass (%)
 23.01411,100.00000
 24.01411, 99.94928
 25.01411, 99.94623
 26.01411, 99.93747
 27.01411, 99.93479
 28.01411, 99.92891
 29.01411, 99.93246
 30.01411, 99.93081
 31.01411, 99.91664
 32.01411, 99.90970
 33.01411, 99.90379
 34.01411, 99.89935
 35.01411, 99.89244
 36.01411, 99.88626
 37.01411, 99.87417
 38.01411, 99.86266
 39.01411, 99.84846
 40.01411, 99.83383
 41.01411, 99.82218
 42.01411, 99.80836
 43.01411, 99.79817
 44.01411, 99.78191
 45.01411, 99.76838
 46.01411, 99.74943
 47.01411, 99.73271
 48.01411, 99.71680
 49.01411, 99.70130
 50.01411, 99.68596
 51.01411, 99.66409
 52.01411, 99.63933
 53.01411, 99.61186
 54.01411, 99.59170
 55.01411, 99.57107
 56.01411, 99.54435
 57.01411, 99.50957
 58.01411, 99.47697
 59.01411, 99.45007
 60.01411, 99.42227
 61.01411, 99.38516
 62.01411, 99.35205
 63.01411, 99.31595
 64.01411, 99.28393
 65.01411, 99.25233
 66.01411, 99.21585
 67.01411, 99.17157
 68.01411, 99.12821
 69.01411, 99.08870
 70.01411, 99.04637
 71.01411, 99.00471
 72.01411, 98.96221
 73.01411, 98.91330
 74.01411, 98.86552
 75.01411, 98.81828
 76.01411, 98.77493
 77.01411, 98.72898
 78.01411, 98.67798
 79.01411, 98.63029
 80.01411, 98.58100
 81.01411, 98.53471
 82.01411, 98.48610
 83.01411, 98.43899
 84.01411, 98.39230
 85.01411, 98.34762
 86.01411, 98.30083
 87.01411, 98.25416
 88.01411, 98.20411
 89.01411, 98.16014
 90.01411, 98.11769
 91.01411, 98.07858
