Time,Mass,Temp1,HRR,Thickness,Temp2
 0.0000000E+000, 1.2656410E+001, 2.0000000E+001, 0.0000000E+000, 5.0000000E-002, 2.0000000E+001
 1.5000000E+000, 1.2656406E+001, 4.2863674E+001, 0.0000000E+000, 4.9999996E-002, 2.4276231E+001
 2.5000000E+000, 1.2656390E+001, 8.0755603E+001, 0.0000000E+000, 4.9999980E-002, 4.3839625E+001
 3.8823772E+000, 1.2656254E+001, 9.9999141E+001, 0.0000000E+000, 4.9999843E-002, 6.0816148E+001
 4.9059782E+000, 1.2655702E+001, 1.1320614E+002, 0.0000000E+000, 4.9999292E-002, 7.3686454E+001
 6.0405384E+000, 1.2654350E+001, 1.2200097E+002, 0.0000000E+000, 4.9997942E-002, 8.3147700E+001
 7.2302628E+000, 1.2651757E+001, 1.2923505E+002, 0.0000000E+000, 4.9995349E-002, 9.1237358E+001
 8.4697328E+000, 1.2648058E+001, 1.3536990E+002, 1.9547769E-007, 4.9991646E-002, 9.7869956E+001
 9.6272241E+000, 1.2643824E+001, 1.4127512E+002, 5.0870289E-007, 4.9987409E-002, 1.0350073E+002
 1.0826685E+001, 1.2639471E+001, 1.4727202E+002, 1.3753682E-006, 4.9983054E-002, 1.0868835E+002
 1.2002292E+001, 1.2635034E+001, 1.5345778E+002, 2.9668105E-006, 4.9978620E-002, 1.1390186E+002
 1.3263340E+001, 1.2630496E+001, 1.5978038E+002, 5.8581622E-006, 4.9974086E-002, 1.1932311E+002
 1.4485982E+001, 1.2625903E+001, 1.6608983E+002, 1.1767683E-005, 4.9969498E-002, 1.2497380E+002
 1.5702572E+001, 1.2621446E+001, 1.7210557E+002, 2.1799120E-005, 4.9965042E-002, 1.3063859E+002
 1.6826485E+001, 1.2617182E+001, 1.7775464E+002, 3.7979088E-005, 4.9960777E-002, 1.3619056E+002
 1.8041390E+001, 1.2612988E+001, 1.8331698E+002, 6.3728832E-005, 4.9956578E-002, 1.4170477E+002
 1.9274087E+001, 1.2608672E+001, 1.8877590E+002, 1.0710349E-004, 4.9952251E-002, 1.4734853E+002
 2.0493818E+001, 1.2604369E+001, 1.9415959E+002, 1.7188669E-004, 4.9947932E-002, 1.5286321E+002
 2.1651846E+001, 1.2600287E+001, 1.9868487E+002, 2.7141362E-004, 4.9943833E-002, 1.5785088E+002
 2.2814947E+001, 1.2596313E+001, 2.0316195E+002, 4.0338073E-004, 4.9939853E-002, 1.6253647E+002
 2.4069038E+001, 1.2592235E+001, 2.0782946E+002, 6.0452208E-004, 4.9935779E-002, 1.6733365E+002
 2.5287700E+001, 1.2588100E+001, 2.1242829E+002, 8.8091937E-004, 4.9931653E-002, 1.7213013E+002
 2.6435978E+001, 1.2584204E+001, 2.1696131E+002, 1.2635838E-003, 4.9927766E-002, 1.7662813E+002
 2.7638737E+001, 1.2580389E+001, 2.2137374E+002, 1.7780796E-003, 4.9923956E-002, 1.8110323E+002
