Time,Temp,Mass,MLR,MCC,DSC
 2.0000000E+000, 2.1002119E+001, 9.9999911E-001, 4.7986970E-007, 2.0792821E-013, 7.4321556E-001
 4.0000000E+000, 2.2002119E+001, 9.9999809E-001, 5.5116038E-007, 2.5595398E-013, 7.4337482E-001
 6.0000000E+000, 2.3002119E+001, 9.9999690E-001, 6.3244795E-007, 3.1463062E-013, 7.4355626E-001
 8.0000000E+000, 2.4002119E+001, 9.9999553E-001, 7.2504929E-007, 3.8622182E-013, 7.4376303E-001
 1.0000000E+001, 2.5002119E+001, 9.9999398E-001, 8.3044341E-007, 4.7345141E-013, 7.4399835E-001
 1.2000000E+001, 2.6002119E+001, 9.9999219E-001, 9.5028975E-007, 5.7959269E-013, 7.4426579E-001
 1.4000000E+001, 2.7002119E+001, 9.9999017E-001, 1.0864486E-006, 7.0857388E-013, 7.4456972E-001
 1.6000000E+001, 2.8002117E+001, 9.9998784E-001, 1.2410032E-006, 8.6510334E-013, 7.4491465E-001
 1.8000000E+001, 2.9002117E+001, 9.9998522E-001, 1.4162853E-006, 1.0548171E-012, 7.4530584E-001
 2.0000000E+001, 3.0002117E+001, 9.9998218E-001, 1.6149011E-006, 1.2844538E-012, 7.4574900E-001
 2.2000000E+001, 3.1002117E+001, 9.9997872E-001, 1.8397625E-006, 1.5620591E-012, 7.4625063E-001
 2.4000000E+001, 3.2002117E+001, 9.9997479E-001, 2.0941186E-006, 1.8972287E-012, 7.4681807E-001
 2.6000000E+001, 3.3002117E+001, 9.9997032E-001, 2.3815928E-006, 2.3013921E-012, 7.4745935E-001
 2.8000000E+001, 3.4002117E+001, 9.9996525E-001, 2.7062215E-006, 2.7881475E-012, 7.4818343E-001
 3.0000000E+001, 3.5002117E+001, 9.9995947E-001, 3.0724968E-006, 3.3736527E-012, 7.4900025E-001
 3.2000000E+001, 3.6002117E+001, 9.9995291E-001, 3.4854145E-006, 4.0770850E-012, 7.4992108E-001
 3.4000000E+001, 3.7002113E+001, 9.9994546E-001, 3.9505239E-006, 4.9211793E-012, 7.5095814E-001
 3.6000000E+001, 3.8002113E+001, 9.9993706E-001, 4.4739854E-006, 5.9328558E-012, 7.5212526E-001
 3.8000000E+001, 3.9002113E+001, 9.9992752E-001, 5.0626281E-006, 7.1439547E-012, 7.5343752E-001
 4.0000000E+001, 4.0002113E+001, 9.9991673E-001, 5.7240181E-006, 8.5920914E-012, 7.5491178E-001
 4.2000000E+001, 4.1002113E+001, 9.9990457E-001, 6.4665278E-006, 1.0321657E-011, 7.5656670E-001
 4.4000000E+001, 4.2002110E+001, 9.9989080E-001, 7.2994135E-006, 1.2384976E-011, 7.5842285E-001
 4.6000000E+001, 4.3002110E+001, 9.9987531E-001, 8.2328952E-006, 1.4843663E-011, 7.6050299E-001
 4.8000000E+001, 4.4002110E+001, 9.9985778E-001, 9.2782484E-006, 1.7770183E-011, 7.6283216E-001
 5.0000000E+001, 4.5002106E+001, 9.9983811E-001, 1.0447896E-005, 2.1249684E-011, 7.6543802E-001
 5.2000000E+001, 4.6002106E+001, 9.9981588E-001, 1.1755506E-005, 2.5382099E-011, 7.6835090E-001
 5.4000000E+001, 4.7002106E+001, 9.9979097E-001, 1.3216108E-005, 3.0284594E-011, 7.7160418E-001
 5.6000000E+001, 4.8002102E+001, 9.9976289E-001, 1.4846193E-005, 3.6094395E-011, 7.7523458E-001
 5.8000000E+001, 4.9002102E+001, 9.9973142E-001, 1.6663842E-005, 4.2972063E-011, 7.7928227E-001
 6.0000000E+001, 5.0002098E+001, 9.9969608E-001, 1.8688841E-005, 5.1105259E-011, 7.8379118E-001
 6.2000000E+001, 5.1002094E+001, 9.9965650E-001, 2.0942816E-005, 6.0713115E-011, 7.8880930E-001
 6.4000000E+001, 5.2002094E+001, 9.9961215E-001, 2.3449358E-005, 7.2051233E-011, 7.9438907E-001
 6.6000000E+001, 5.3002090E+001, 9.9956250E-001, 2.6234162E-005, 8.5417493E-011, 8.0058742E-001
 6.8000000E+001, 5.4002087E+001, 9.9950695E-001, 2.9325149E-005, 1.0115866E-010, 8.0746645E-001
 7.0000000E+001, 5.5002083E+001, 9.9944490E-001, 3.2752607E-005, 1.1967810E-010, 8.1509328E-001
 7.2000000E+001, 5.6002079E+001, 9.9937570E-001, 3.6549314E-005, 1.4144450E-010, 8.2354063E-001
 7.4000000E+001, 5.7002071E+001, 9.9929839E-001, 4.0750641E-005, 1.6700191E-010, 8.3288693E-001
 7.6000000E+001, 5.8002068E+001, 9.9921232E-001, 4.5394674E-005, 1.9698145E-010, 8.4321660E-001
 7.8000000E+001, 5.9002060E+001, 9.9911648E-001, 5.0522274E-005, 2.3211433E-010, 8.5462010E-001
 8.0000000E+001, 6.0002056E+001, 9.9900985E-001, 5.6177156E-005, 2.7324720E-010, 8.6719435E-001
 8.2000000E+001, 6.1002048E+001, 9.9889129E-001, 6.2405881E-005, 3.2135936E-010, 8.8104230E-001
 8.4000000E+001, 6.2002041E+001, 9.9875975E-001, 6.9257876E-005, 3.7758255E-010, 8.9627331E-001
 8.6000000E+001, 6.3002033E+001, 9.9861377E-001, 7.6785305E-005, 4.4322374E-010, 9.1300273E-001
 8.8000000E+001, 6.4002022E+001, 9.9845201E-001, 8.5042964E-005, 5.1979071E-010, 9.3135166E-001
 9.0000000E+001, 6.5002014E+001, 9.9827296E-001, 9.4088027E-005, 6.0902172E-010, 9.5144624E-001
 9.2000000E+001, 6.6001999E+001, 9.9807501E-001, 1.0397974E-004, 7.1291895E-010, 9.7341710E-001
 9.4000000E+001, 6.7001991E+001, 9.9785638E-001, 1.1477894E-004, 8.3378671E-010, 9.9739820E-001
 9.6000000E+001, 6.8001976E+001, 9.9761516E-001, 1.2654750E-004, 9.7427522E-010, 1.0235257E+000
 9.8000000E+001, 6.9001961E+001, 9.9734938E-001, 1.3934755E-004, 1.1374296E-009, 1.0519359E+000
 1.0000000E+002, 7.0001945E+001, 9.9705690E-001, 1.5324053E-004, 1.3267466E-009, 1.0827634E+000
 1.0200000E+002, 7.1001930E+001, 9.9673545E-001, 1.6828606E-004, 1.5462386E-009, 1.1161383E+000
 1.0400000E+002, 7.2001907E+001, 9.9638277E-001, 1.8454049E-004, 1.8005056E-009, 1.1521834E+000
 1.0600000E+002, 7.3001892E+001, 9.9599630E-001, 2.0205526E-004, 2.0948183E-009, 1.1910095E+000
 1.0800000E+002, 7.4001869E+001, 9.9557352E-001, 2.2087495E-004, 2.4352107E-009, 1.2327123E+000
 1.1000000E+002, 7.5001846E+001, 9.9511170E-001, 2.4103490E-004, 2.8285869E-009, 1.2773662E+000
 1.1200000E+002, 7.6001823E+001, 9.9460822E-001, 2.6255875E-004, 3.2828402E-009, 1.3250186E+000
 1.1400000E+002, 7.7001793E+001, 9.9406034E-001, 2.8545532E-004, 3.8069889E-009, 1.3756843E+000
 1.1600000E+002, 7.8001770E+001, 9.9346530E-001, 3.0971554E-004, 4.4113300E-009, 1.4293362E+000
 1.1800000E+002, 7.9001740E+001, 9.9282032E-001, 3.3530866E-004, 5.1076112E-009, 1.4858994E+000
 1.2000000E+002, 8.0001709E+001, 9.9212295E-001, 3.6217866E-004, 5.9092282E-009, 1.5452416E+000
 1.2200000E+002, 8.1001678E+001, 9.9137056E-001, 3.9024002E-004, 6.8314443E-009, 1.6071637E+000
 1.2400000E+002, 8.2001640E+001, 9.9056095E-001, 4.1937386E-004, 7.8916385E-009, 1.6713918E+000
 1.2600000E+002, 8.3001610E+001, 9.8969215E-001, 4.4942385E-004, 9.1095860E-009, 1.7375680E+000
 1.2800000E+002, 8.4001572E+001, 9.8876250E-001, 4.8019260E-004, 1.0507772E-008, 1.8052419E+000
 1.3000000E+002, 8.5001541E+001, 9.8777074E-001, 5.1143829E-004, 1.2111743E-008, 1.8738638E+000
 1.3200000E+002, 8.6001503E+001, 9.8671627E-001, 5.4287253E-004, 1.3950505E-008, 1.9427793E+000
 1.3400000E+002, 8.7001465E+001, 9.8559904E-001, 5.7415885E-004, 1.6056962E-008, 2.0112267E+000
 1.3600000E+002, 8.8001434E+001, 9.8441970E-001, 6.0491305E-004, 1.8468416E-008, 2.0783381E+000
 1.3800000E+002, 8.9001404E+001, 9.8317975E-001, 6.3470518E-004, 2.1227111E-008, 2.1431434E+000
 1.4000000E+002, 9.0001366E+001, 9.8188156E-001, 6.6306361E-004, 2.4380851E-008, 2.2045805E+000
 1.4200000E+002, 9.1001343E+001, 9.8052853E-001, 6.8948220E-004, 2.7983683E-008, 2.2615108E+000
 1.4400000E+002, 9.2001312E+001, 9.7912502E-001, 7.1342959E-004, 3.2096651E-008, 2.3127410E+000
 1.4600000E+002, 9.3001289E+001, 9.7767657E-001, 7.3436176E-004, 3.6788631E-008, 2.3570523E+000
 1.4800000E+002, 9.4001274E+001, 9.7618973E-001, 7.5173762E-004, 4.2137266E-008, 2.3932335E+000
 1.5000000E+002, 9.5001259E+001, 9.7467220E-001, 7.6503708E-004, 4.8229989E-008, 2.4201243E+000
 1.5200000E+002, 9.6001251E+001, 9.7313255E-001, 7.7378144E-004, 5.5165145E-008, 2.4366598E+000
 1.5400000E+002, 9.7001251E+001, 9.7158033E-001, 7.7755487E-004, 6.3053243E-008, 2.4419193E+000
 1.5600000E+002, 9.8001251E+001, 9.7002584E-001, 7.7602681E-004, 7.2018338E-008, 2.4351771E+000
 1.5800000E+002, 9.9001259E+001, 9.6847993E-001, 7.6897308E-004, 8.2199520E-008, 2.4159489E+000
 1.6000000E+002, 1.0000127E+002, 9.6695381E-001, 7.5629435E-004, 9.3752625E-008, 2.3840339E+000
 1.6200000E+002, 1.0100130E+002, 9.6545863E-001, 7.3803106E-004, 1.0685206E-007, 2.3395486E+000
 1.6400000E+002, 1.0200133E+002, 9.6400547E-001, 7.1437255E-004, 1.2169282E-007, 2.2829442E+000
 1.6600000E+002, 1.0300137E+002, 9.6260476E-001, 6.8565947E-004, 1.3849281E-007, 2.2150149E+000
 1.6800000E+002, 1.0400140E+002, 9.6126622E-001, 6.5237813E-004, 1.5749529E-007, 2.1368816E+000
 1.7000000E+002, 1.0500145E+002, 9.5999825E-001, 6.1514729E-004, 1.7897170E-007, 2.0499628E+000
 1.7200000E+002, 1.0600150E+002, 9.5880812E-001, 5.7469652E-004, 2.0322470E-007, 1.9559250E+000
 1.7400000E+002, 1.0700155E+002, 9.5770150E-001, 5.3183828E-004, 2.3059167E-007, 1.8566188E+000
 1.7600000E+002, 1.0800160E+002, 9.5668226E-001, 4.8743450E-004, 2.6144841E-007, 1.7540029E+000
 1.7800000E+002, 1.0900166E+002, 9.5575267E-001, 4.4236035E-004, 2.9621347E-007, 1.6500620E+000
 1.8000000E+002, 1.1000171E+002, 9.5491314E-001, 3.9746737E-004, 3.3535275E-007, 1.5467240E+000
 1.8200000E+002, 1.1100176E+002, 9.5416260E-001, 3.5354914E-004, 3.7938474E-007, 1.4457816E+000
 1.8400000E+002, 1.1200181E+002, 9.5349824E-001, 3.1131142E-004, 4.2888615E-007, 1.3488256E+000
 1.8600000E+002, 1.1300185E+002, 9.5291620E-001, 2.7134881E-004, 4.8449834E-007, 1.2571927E+000
 1.8800000E+002, 1.1400190E+002, 9.5241141E-001, 2.3412940E-004, 5.4693413E-007, 1.1719308E+000
 1.9000000E+002, 1.1500194E+002, 9.5197803E-001, 1.9998796E-004, 6.1698546E-007, 1.0937846E+000
 1.9200000E+002, 1.1600198E+002, 9.5160961E-001, 1.6912700E-004, 6.9553175E-007, 1.0231981E+000
 1.9400000E+002, 1.1700201E+002, 9.5129955E-001, 1.4162534E-004, 7.8354918E-007, 9.6033525E-001
 1.9600000E+002, 1.1800204E+002, 9.5104116E-001, 1.1745217E-004, 8.8212039E-007, 9.0511191E-001
 1.9800000E+002, 1.1900206E+002, 9.5082784E-001, 9.6485317E-005, 9.9244573E-007, 8.5723728E-001
 2.0000000E+002, 1.2000208E+002, 9.5065337E-001, 7.8531331E-005, 1.1158554E-006, 8.1626040E-001
 2.0200000E+002, 1.2100210E+002, 9.5051199E-001, 6.3346139E-005, 1.2538219E-006, 7.8161675E-001
 2.0400000E+002, 1.2200211E+002, 9.5039845E-001, 5.0654457E-005, 1.4079752E-006, 7.5267220E-001
 2.0600000E+002, 1.2300213E+002, 9.5030802E-001, 4.0167066E-005, 1.5801179E-006, 7.2876233E-001
 2.0800000E+002, 1.2400214E+002, 9.5023662E-001, 3.1595126E-005, 1.7722423E-006, 7.0922518E-001
 2.1000000E+002, 1.2500214E+002, 9.5018065E-001, 2.4661354E-005, 1.9865493E-006, 6.9342583E-001
 2.1200000E+002, 1.2600215E+002, 9.5013714E-001, 1.9107998E-005, 2.2254692E-006, 6.8077493E-001
 2.1400000E+002, 1.2700216E+002, 9.5010352E-001, 1.4701888E-005, 2.4916828E-006, 6.7073959E-001
 2.1600000E+002, 1.2800217E+002, 9.5007771E-001, 1.1237028E-005, 2.7881474E-006, 6.6284961E-001
 2.1800000E+002, 1.2900217E+002, 9.5005810E-001, 8.5351685E-006, 3.1181219E-006, 6.5669811E-001
 2.2000000E+002, 1.3000217E+002, 9.5004320E-001, 6.4449096E-006, 3.4851967E-006, 6.5193987E-001
 2.2200000E+002, 1.3100217E+002, 9.5003200E-001, 4.8397901E-006, 3.8933244E-006, 6.4828646E-001
 2.2400000E+002, 1.3200217E+002, 9.5002359E-001, 3.6157642E-006, 4.3468558E-006, 6.4550084E-001
 2.2600000E+002, 1.3300217E+002, 9.5001733E-001, 2.6883995E-006, 4.8505754E-006, 6.4339066E-001
 2.2800000E+002, 1.3400217E+002, 9.5001268E-001, 1.9900344E-006, 5.4097427E-006, 6.4180160E-001
 2.3000000E+002, 1.3500217E+002, 9.5000929E-001, 1.4670669E-006, 6.0301377E-006, 6.4061177E-001
 2.3200000E+002, 1.3600217E+002, 9.5000678E-001, 1.0774759E-006, 6.7181077E-006, 6.3972551E-001
 2.3400000E+002, 1.3700217E+002, 9.5000488E-001, 7.8863422E-007, 7.4806198E-006, 6.3906842E-001
 2.3600000E+002, 1.3800217E+002, 9.5000356E-001, 5.7543139E-007, 8.3253180E-006, 6.3858348E-001
 2.3800000E+002, 1.3900217E+002, 9.5000255E-001, 4.1869626E-007, 9.2605860E-006, 6.3822693E-001
 2.4000000E+002, 1.4000217E+002, 9.5000184E-001, 3.0389978E-007, 1.0295612E-005, 6.3796586E-001
 2.4200000E+002, 1.4100217E+002, 9.5000136E-001, 2.2010484E-007, 1.1440461E-005, 6.3777518E-001
 2.4400000E+002, 1.4200217E+002, 9.5000094E-001, 1.5912848E-007, 1.2706158E-005, 6.3763648E-001
 2.4600000E+002, 1.4300217E+002, 9.5000070E-001, 1.1488252E-007, 1.4104766E-005, 6.3753581E-001
 2.4800000E+002, 1.4400217E+002, 9.5000046E-001, 8.2860254E-008, 1.5649484E-005, 6.3746291E-001
 2.5000000E+002, 1.4500217E+002, 9.5000035E-001, 5.9740998E-008, 1.7354749E-005, 6.3741028E-001
 2.5200000E+002, 1.4600217E+002, 9.5000023E-001, 4.3088146E-008, 1.9236331E-005, 6.3737231E-001
 2.5400000E+002, 1.4700217E+002, 9.5000017E-001, 3.1120571E-008, 2.1311467E-005, 6.3734496E-001
 2.5600000E+002, 1.4800217E+002, 9.5000011E-001, 2.2540702E-008, 2.3598976E-005, 6.3732541E-001
 2.5800000E+002, 1.4900217E+002, 9.5000011E-001, 1.6406181E-008, 2.6119398E-005, 6.3731128E-001
 2.6000000E+002, 1.5000217E+002, 9.5000005E-001, 1.2034526E-008, 2.8895145E-005, 6.3730121E-001
