s,C,C
Time,T_b45mmTC1,T_b13mmTC2
0,27.66,23.31
1,27.96,23.33
2,28.77,23.32
3,29.6,23.37
4,30.17,23.33
5,31.01,23.38
6,31.95,23.36
7,32.89,23.44
8,33.88,23.39
9,34.78,23.41
10,35.65,23.44
11,36.68,23.46
12,37.57,23.49
13,38.63,23.53
14,39.53,23.51
15,40.47,23.59
16,41.43,23.61
17,42.39,23.61
18,43.39,23.6
19,44.35,23.64
20,45.35,23.69
21,46.28,23.79
22,47.26,23.81
23,48.22,23.86
24,49.23,23.89
25,50.17,23.92
26,51.14,24
27,52.1,24.04
28,53.07,24.07
29,54.07,24.14
30,54.98,24.18
31,55.96,24.24
32,56.92,24.29
33,57.89,24.31
34,58.85,24.37
35,59.82,24.43
36,60.76,24.52
37,61.77,24.53
38,62.74,24.6
39,63.74,24.67
40,64.64,24.75
41,65.71,24.81
42,66.67,24.85
43,67.7,24.9
44,68.64,24.98
45,69.6,25
46,70.63,25.13
47,71.58,25.16
48,72.58,25.23
49,73.52,25.32
50,74.47,25.43
51,75.52,25.47
52,76.42,25.49
53,77.38,25.61
54,78.39,25.63
55,79.4,25.7
56,80.39,25.8
57,81.33,25.85
58,82.23,25.92
59,83.22,26
60,84.2,26.03
61,85.12,26.16
62,86.02,26.16
63,87.02,26.24
64,87.98,26.33
65,88.91,26.43
66,89.82,26.41
67,90.83,26.52
68,91.84,26.6
69,92.7,26.69
70,93.57,26.73
71,94.63,26.81
72,95.53,26.88
73,96.51,26.94
74,97.45,26.98
75,98.37,27.12
76,99.3,27.11
77,100.25,27.18
78,101.14,27.33
79,102.13,27.36
80,102.98,27.41
81,103.88,27.45
82,104.83,27.56
83,105.66,27.58
84,106.58,27.65
85,107.52,27.78
86,108.39,27.8
87,109.24,27.9
88,110.11,27.92
89,111.02,28.02
90,111.93,28.04
91,112.75,28.13
92,113.67,28.19
93,114.47,28.23
94,115.3,28.31
95,116.2,28.38
96,116.97,28.43
97,117.8,28.47
98,118.66,28.52
99,119.41,28.64
100,120.23,28.67
101,121.06,28.77
102,121.9,28.8
103,122.62,28.87
104,123.44,28.89
105,124.24,29
106,125.05,28.99
107,125.83,29.15
108,126.59,29.12
109,127.39,29.2
110,128.17,29.21
111,128.94,29.34
112,129.78,29.37
113,130.41,29.4
114,131.24,29.45
115,132.09,29.54
116,132.78,29.59
117,133.52,29.6
118,134.3,29.7
119,135.17,29.71
120,135.89,29.83
121,136.66,29.82
122,137.46,29.86
123,138.24,29.96
124,139.04,30
125,139.82,30.05
126,140.55,30.11
127,141.38,30.16
128,142.11,30.23
129,143,30.26
130,143.71,30.32
131,144.58,30.36
132,145.4,30.39
133,146.19,30.43
134,147.01,30.51
135,147.89,30.52
136,148.71,30.6
137,149.56,30.63
138,150.42,30.71
139,151.23,30.76
140,152.06,30.77
141,152.95,30.86
142,153.81,30.87
143,154.64,30.95
144,155.51,30.99
145,156.35,30.98
146,157.22,31.07
147,158.01,31.14
148,158.86,31.1
149,159.7,31.19
150,160.46,31.26
151,161.36,31.28
152,162.19,31.32
153,163.05,31.36
154,163.87,31.41
155,164.69,31.47
156,165.55,31.49
157,166.46,31.52
158,167.24,31.56
159,168.14,31.62
160,168.97,31.72
161,169.83,31.67
